0,1,2,3
Tim Wilson,Matt Keogh,Matt Keogh,Matt Keogh
Terri Butler,Malcolm Turnbull,Malcolm Turnbull,Malcolm Turnbull
George Christensen,Luke Hartsuyker,Stephen Jones,Stephen Jones
Warren Entsch,Keith Pitt,Terri Butler,Terri Butler
Kevin Andrews,Andrew Wallace,Warren Entsch,Warren Entsch
Rowan Ramsey,Barnaby Joyce,Trent Zimmerman,Trent Zimmerman
Sarah Henderson,Ben Morton,Adam Bandt,Adam Bandt
Trent Zimmerman,George Christensen,Mark Butler,Rowan Ramsey
Michael Sukkar,Julian Leeser,Amanda Rishworth,Sarah Henderson
Stephen Jones,Karen Andrews,Milton Dick,Andrew Laming
Andrew Laming,David Gillespie,Tim Hammond,Michael Sukkar
Andrew Broad,Shayne Neumann,Tim Watts,Lucy Wicks
Mark Dreyfus,Greg Hunt,Susan Templeman,Ted O'Brien
Lucy Wicks,Julia Banks,Brendan O'Connor,George Christensen
Julie Owens,Tony Pasin,Bill Shorten,Chris Crewther
Ted O'Brien,Rowan Ramsey,Josh Wilson,Scott Morrison
Adam Bandt,Ed Husic,Richard Marles,Andrew Hastie
Craig Kelly,Ken O'Dowd,Lisa Chesters,Tony Abbott
Chris Crewther,Sarah Henderson,Tanya Plibersek,Andrew Broad
Alex Hawke,Luke Howarth,Susan Lamb,Alex Hawke
Andrew Hastie,Stuart Robert,Rob Mitchell,Nicolle Flint
Tony Abbott,Tony Zappia,Anne Aly,Trevor Evans
Nicolle Flint,Ian Goodenough,Justine Elliot,
Trevor Evans,Rick Wilson,Pat Conroy,
Scott Morrison,Steven Ciobo,Bob Katter,
Christopher Pyne,Kelly O'Dwyer,Cathy O'Toole,
,John McVeigh,Madeleine King,
,Josh Frydenberg,Julian Hill,
,Scott Buchholz,Sharon Claydon,
,Paul Fletcher,Matt Thistlethwaite,
,Alex Hawke,Sussan Ley,
,Nicolle Flint,Jason Clare,
,Chris Bowen,Andrew Giles,
,Michael McCormack,Emma Husar,
,Michael Sukkar,Anthony Albanese,
,Jason Falinski,Gai Brodtmann,
,Andrew Laming,Andrew Leigh,
,Lucy Wicks,Catherine King,
,Angus Taylor,Nick Champion,
,Christian Porter,Linda Burney,
,Julie Bishop,Jenny Macklin,
,Chris Crewther,Ann Sudmalis,
,Melissa Price,Luke Gosling,
,Peter Dutton,Kate Ellis,
,Michelle Rowland,Jim Chalmers,
,Andrew Hastie,Cathy McGowan,
,Alan Tudge,Tony Burke,
,Jason Wood,Meryl Swanson,
,Ross Hart,Emma McBride,
,Mark Coulton,Andrew Wilkie,
,Ted O'Brien,Mike Kelly,
,Peter Khalil,Mike Freelander,
,Andrew Gee,Julie Collins,
,Dan Tehan,David Feeney,
,Damian Drum,Clare O'Neil,
,Tony Abbott,Michael Danby,
,Andrew Broad,Justine Keay,
,Ken Wyatt,Sharon Bird,
,Trevor Evans,,
,Scott Morrison,,
,Kevin Hogan,,
