,degree,degree_norm
Tim Wilson,32,0.6808510638297872
Jenny Macklin,31,0.6595744680851063
Terri Butler,31,0.6595744680851063
Lisa Chesters,31,0.6595744680851063
Andrew Giles,31,0.6595744680851063
Barnaby Joyce,31,0.6595744680851063
David Littleproud,31,0.6595744680851063
Susan Templeman,31,0.6595744680851063
Luke Howarth,31,0.6595744680851063
Sharon Claydon,31,0.6595744680851063
Matt Thistlethwaite,31,0.6595744680851063
Julian Leeser,31,0.6595744680851063
Lucy Wicks,31,0.6595744680851063
Anthony Albanese,31,0.6595744680851063
Michael Sukkar,31,0.6595744680851063
Andrew Hastie,31,0.6595744680851063
Trevor Evans,31,0.6595744680851063
Ted O'Brien,31,0.6595744680851063
Bill Shorten,31,0.6595744680851063
Warren Entsch,31,0.6595744680851063
Malcolm Turnbull,31,0.6595744680851063
Pat Conroy,31,0.6595744680851063
Sarah Henderson,31,0.6595744680851063
Stephen Jones,89,0.6592592592592592
Andrew Wilkie,60,0.6521739130434783
Linda Burney,35,0.3804347826086957
Craig Kelly,32,0.34782608695652173
Darren Chester,32,0.34782608695652173
Tanya Plibersek,31,0.33695652173913043
Tony Pasin,3,0.06382978723404255
Warren Snowdon,3,0.06382978723404255
Mark Dreyfus,4,0.043478260869565216
Mike Kelly,2,0.0425531914893617
John Alexander,1,0.02127659574468085
David Gillespie,1,0.02127659574468085
Ian Goodenough,1,0.02127659574468085
Adam Bandt,1,0.02127659574468085
Cathy McGowan,1,0.02127659574468085
Matt Keogh,0,0.0
Joanne Ryan,0,0.0
