,degree,degree_norm
Alex Hawke,253,0.4903100775193798
Nicolle Flint,162,0.4682080924855491
Chris Crewther,161,0.4653179190751445
Warren Entsch,312,0.45614035087719296
Terri Butler,235,0.45542635658914726
Scott Morrison,157,0.45375722543352603
Andrew Broad,234,0.45348837209302323
Rowan Ramsey,155,0.4479768786127168
Tony Abbott,231,0.4476744186046512
Michael Sukkar,304,0.4444444444444444
Kevin Andrews,301,0.44005847953216376
Trevor Evans,374,0.44
Andrew Hastie,152,0.4393063583815029
Sarah Henderson,226,0.437984496124031
Lucy Wicks,151,0.43641618497109824
George Christensen,151,0.43641618497109824
Tim Wilson,224,0.43410852713178294
Andrew Laming,146,0.42196531791907516
Craig Kelly,287,0.4195906432748538
Trent Zimmerman,355,0.4176470588235294
Mark Dreyfus,490,0.4166666666666667
Stephen Jones,144,0.4161849710982659
Ted O'Brien,144,0.4161849710982659
Luke Howarth,69,0.39655172413793105
Alan Tudge,69,0.39655172413793105
Ben Morton,69,0.39655172413793105
Adam Bandt,270,0.39473684210526316
Christopher Pyne,136,0.3930635838150289
David Gillespie,68,0.39080459770114945
Rick Wilson,68,0.39080459770114945
Kevin Hogan,68,0.39080459770114945
Michael McCormack,68,0.39080459770114945
Andrew Gee,68,0.39080459770114945
Julia Banks,68,0.39080459770114945
Michelle Rowland,68,0.39080459770114945
Ed Husic,67,0.3850574712643678
Angus Taylor,67,0.3850574712643678
Josh Frydenberg,67,0.3850574712643678
Mark Coulton,67,0.3850574712643678
Shayne Neumann,67,0.3850574712643678
Ken Wyatt,67,0.3850574712643678
Stuart Robert,67,0.3850574712643678
Jason Falinski,67,0.3850574712643678
Keith Pitt,66,0.3793103448275862
Amanda Rishworth,66,0.3793103448275862
Tony Pasin,66,0.3793103448275862
Mark Butler,66,0.3793103448275862
David Feeney,65,0.3735632183908046
Julie Bishop,65,0.3735632183908046
Damian Drum,65,0.3735632183908046
Mike Freelander,65,0.3735632183908046
Greg Hunt,65,0.3735632183908046
Melissa Price,65,0.3735632183908046
Kelly O'Dwyer,65,0.3735632183908046
Matt Keogh,129,0.37283236994219654
Dan Tehan,64,0.367816091954023
Jason Clare,64,0.367816091954023
Rob Mitchell,64,0.367816091954023
Justine Keay,64,0.367816091954023
Anne Aly,64,0.367816091954023
Ian Goodenough,64,0.367816091954023
Gai Brodtmann,64,0.367816091954023
Pat Conroy,64,0.367816091954023
Andrew Leigh,64,0.367816091954023
Ken O'Dowd,64,0.367816091954023
Cathy McGowan,64,0.367816091954023
Matt Thistlethwaite,64,0.367816091954023
Paul Fletcher,64,0.367816091954023
Emma Husar,64,0.367816091954023
Josh Wilson,64,0.367816091954023
Meryl Swanson,64,0.367816091954023
Milton Dick,64,0.367816091954023
Tony Zappia,64,0.367816091954023
Catherine King,64,0.367816091954023
Luke Hartsuyker,64,0.367816091954023
Scott Buchholz,64,0.367816091954023
Emma McBride,64,0.367816091954023
Kate Ellis,64,0.367816091954023
Tim Watts,64,0.367816091954023
Christian Porter,64,0.367816091954023
Julian Leeser,63,0.3620689655172414
Ann Sudmalis,63,0.3620689655172414
Peter Dutton,63,0.3620689655172414
Justine Elliot,63,0.3620689655172414
Sharon Claydon,63,0.3620689655172414
Susan Templeman,63,0.3620689655172414
Andrew Wallace,62,0.3563218390804598
Brendan O'Connor,62,0.3563218390804598
Linda Burney,62,0.3563218390804598
Michael Danby,62,0.3563218390804598
Sussan Ley,62,0.3563218390804598
Richard Marles,62,0.3563218390804598
Sharon Bird,62,0.3563218390804598
Jenny Macklin,62,0.3563218390804598
Clare O'Neil,62,0.3563218390804598
Madeleine King,62,0.3563218390804598
Tony Burke,62,0.3563218390804598
John McVeigh,122,0.35260115606936415
Andrew Giles,61,0.3505747126436782
Lisa Chesters,61,0.3505747126436782
Steven Ciobo,61,0.3505747126436782
Karen Andrews,61,0.3505747126436782
Cathy O'Toole,61,0.3505747126436782
Tim Hammond,61,0.3505747126436782
Andrew Wilkie,61,0.3505747126436782
Julie Owens,61,0.3505747126436782
Julie Collins,61,0.3505747126436782
Jason Wood,121,0.34971098265895956
Malcolm Turnbull,120,0.3468208092485549
Jim Chalmers,60,0.3448275862068966
Mike Kelly,60,0.3448275862068966
Barnaby Joyce,60,0.3448275862068966
Susan Lamb,59,0.3390804597701149
Anthony Albanese,58,0.3333333333333333
Bill Shorten,115,0.33236994219653176
Tanya Plibersek,57,0.3275862068965517
Bob Katter,61,0.17630057803468208
