Speech_id,48963
Date,2017-12-06
Bill,Marriage Amendment (Definition and Religious Freedoms) Bill 2017
Type,Second Reading
Person,Luke Howarth
Gender,1
Party,LP
Elec,Petrie
Metro,2
Topic_nmf,1.0
Senti_pos,0.17600000000000002
Senti_neu,0.763
Senti_neg,0.061
Senti_comp,0.9998
