,196
Speech_id,48877
Date,2017-12-05
Bill,Marriage Amendment (Definition and Religious Freedoms) Bill 2017
Type,Second Reading
Person,Lisa Chesters
Gender,0
Party,ALP
Elec,Bendigo
Metro,3
Topic,4
CoeffMax,0.9989544846350739
CoeffDiff,0.9988383056749963
