,EdgeWeightSum,Degree
Adam Bandt,429,1.0
Mark Dreyfus,364,0.8484848484848485
Trent Zimmerman,300,0.6993006993006993
Trevor Evans,284,0.662004662004662
Warren Entsch,235,0.5477855477855478
Michael Sukkar,232,0.5407925407925408
Kevin Andrews,220,0.5128205128205128
Craig Kelly,220,0.5128205128205128
Andrew Wallace,186,0.43356643356643354
Terri Butler,181,0.4219114219114219
George Christensen,178,0.4149184149184149
Sarah Henderson,178,0.4149184149184149
Andrew Broad,178,0.4149184149184149
Alex Hawke,178,0.4149184149184149
Andrew Laming,178,0.4149184149184149
Scott Morrison,178,0.4149184149184149
Tony Abbott,178,0.4149184149184149
Tim Wilson,168,0.3916083916083916
Tanya Plibersek,132,0.3076923076923077
Bill Shorten,132,0.3076923076923077
Bob Katter,132,0.3076923076923077
Cathy McGowan,132,0.3076923076923077
Ann Sudmalis,132,0.3076923076923077
Malcolm Turnbull,131,0.30536130536130535
Matt Keogh,131,0.30536130536130535
Jason Wood,126,0.2937062937062937
John McVeigh,126,0.2937062937062937
Stephen Jones,125,0.2913752913752914
Nicolle Flint,122,0.28438228438228436
Lucy Wicks,122,0.28438228438228436
Andrew Hastie,122,0.28438228438228436
Chris Crewther,122,0.28438228438228436
Rowan Ramsey,122,0.28438228438228436
Ted O'Brien,122,0.28438228438228436
Christopher Pyne,114,0.26573426573426573
Justine Keay,67,0.1561771561771562
Matt Thistlethwaite,67,0.1561771561771562
Nick Champion,67,0.1561771561771562
Luke Gosling,67,0.1561771561771562
Mike Kelly,67,0.1561771561771562
Michael Danby,67,0.1561771561771562
Brendan O'Connor,67,0.1561771561771562
Milton Dick,67,0.1561771561771562
Susan Templeman,67,0.1561771561771562
Justine Elliot,67,0.1561771561771562
Emma Husar,67,0.1561771561771562
Josh Wilson,67,0.1561771561771562
Anne Aly,67,0.1561771561771562
Kate Ellis,67,0.1561771561771562
Andrew Leigh,67,0.1561771561771562
Mark Butler,67,0.1561771561771562
Pat Conroy,67,0.1561771561771562
Mike Freelander,67,0.1561771561771562
Amanda Rishworth,67,0.1561771561771562
Julie Collins,67,0.1561771561771562
Gai Brodtmann,67,0.1561771561771562
Rob Mitchell,67,0.1561771561771562
David Feeney,67,0.1561771561771562
Andrew Giles,67,0.1561771561771562
Linda Burney,67,0.1561771561771562
Jim Chalmers,67,0.1561771561771562
Lisa Chesters,67,0.1561771561771562
Tim Hammond,67,0.1561771561771562
Clare O'Neil,67,0.1561771561771562
Tony Burke,67,0.1561771561771562
Jenny Macklin,67,0.1561771561771562
Richard Marles,67,0.1561771561771562
Jason Clare,67,0.1561771561771562
Tim Watts,67,0.1561771561771562
Sussan Ley,67,0.1561771561771562
Emma McBride,67,0.1561771561771562
Cathy O'Toole,67,0.1561771561771562
Meryl Swanson,67,0.1561771561771562
Andrew Wilkie,67,0.1561771561771562
Sharon Bird,67,0.1561771561771562
Anthony Albanese,67,0.1561771561771562
Catherine King,67,0.1561771561771562
Sharon Claydon,67,0.1561771561771562
Madeleine King,67,0.1561771561771562
Julian Hill,67,0.1561771561771562
Susan Lamb,67,0.1561771561771562
Michelle Rowland,64,0.14918414918414918
Steven Ciobo,64,0.14918414918414918
Rick Wilson,64,0.14918414918414918
Dan Tehan,64,0.14918414918414918
Karen Andrews,64,0.14918414918414918
Ian Goodenough,64,0.14918414918414918
Peter Dutton,64,0.14918414918414918
Kevin Hogan,64,0.14918414918414918
Chris Bowen,64,0.14918414918414918
Julian Leeser,64,0.14918414918414918
Ken Wyatt,64,0.14918414918414918
Tony Zappia,64,0.14918414918414918
Damian Drum,64,0.14918414918414918
Julia Banks,64,0.14918414918414918
Melissa Price,64,0.14918414918414918
Ken O'Dowd,64,0.14918414918414918
Luke Howarth,64,0.14918414918414918
Peter Khalil,64,0.14918414918414918
Greg Hunt,64,0.14918414918414918
Shayne Neumann,64,0.14918414918414918
Julie Bishop,64,0.14918414918414918
Tony Pasin,64,0.14918414918414918
Kelly O'Dwyer,64,0.14918414918414918
Jason Falinski,64,0.14918414918414918
Ross Hart,64,0.14918414918414918
Stuart Robert,64,0.14918414918414918
Luke Hartsuyker,64,0.14918414918414918
Mark Coulton,64,0.14918414918414918
Josh Frydenberg,64,0.14918414918414918
Barnaby Joyce,64,0.14918414918414918
Scott Buchholz,64,0.14918414918414918
Angus Taylor,64,0.14918414918414918
David Gillespie,64,0.14918414918414918
Christian Porter,64,0.14918414918414918
Michael McCormack,64,0.14918414918414918
Andrew Gee,64,0.14918414918414918
Ed Husic,64,0.14918414918414918
Paul Fletcher,64,0.14918414918414918
Ben Morton,64,0.14918414918414918
Keith Pitt,64,0.14918414918414918
Alan Tudge,64,0.14918414918414918
Julie Owens,58,0.1351981351981352
