,0,1,2,3,4,5
0,freedom,amendment,view,plebiscite,equality,child
1,vote,religious,issue,prime,love,relationship
2,religious,celebrant,change,labor,lgbtiq,sex
3,yes,freedom,think,government,want,couple
4,percent,belief,member,minister,time,institution
5,protection,religion,debate,debate,vote,woman
6,survey,charity,position,australian,community,man
7,australians,senate,sex,parliament,year,government
8,australian,member,vote,equality,yes,family
9,faith,act,election,party,friend,law
coeffMax,0.298,0.379,0.43,0.425,0.313,0.323
coeffDiff,0.258,0.332,0.423,0.378,0.281,0.317
speechId,48874,49065,33395,45232,48859,13323
topicCount,41,62,57,44,71,59
percentage,12.3,18.6,17.1,13.2,21.3,17.7
