,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,parliament,equality,debate,charities,religious,gay,page,sex,australian,sex,australians,community,equality,said,person
1,minister,love,plebiscite,charitable,freedom,act,officer,views,government,australian,equality,time,love,community,act
2,want,parliament,support,charity,amendments,faith,item,issue,house,government,vote,discrimination,children,debate,belief
3,prime,member,sex,public,freedoms,discrimination,schedule,change,sex,issue,plebiscite,sex,sex,time,entity
4,amendment,lgbtiq,important,referendum,religion,view,authorised,society,law,plebiscite,australian,gay,support,right,law
5,member,labor,parliament,commissioner,sex,know,religious,law,legislation,labor,change,equality,family,vote,woman
6,house,want,change,funding,protections,think,insert,religious,community,debate,parliament,want,time,think,relevant
7,vote,equal,process,yes,amendment,just,omit,commitment,minister,think,australia,couples,like,say,man
8,debate,time,think,australians,percent,time,chaplain,parliament,amendment,parliament,say,like,life,equality,institution
9,party,minister,vote,status,voted,parliament,line,act,matter,party,country,parliament,right,australia,sex
10,just,thank,labor,1999,yes,member,substitute,public,senate,support,want,australia,australians,country,children
11,liberal,rights,children,committee,rights,right,subsection,issues,attorney,say,love,issue,friends,want,section
12,right,party,equality,plebiscite,australians,going,celebrant,rights,second,change,yes,years,community,got,society
13,equality,vote,said,law,beliefs,say,traditional,community,relation,election,nation,debate,want,years,state
14,freedom,australians,government,provide,law,like,defence,schools,think,vote,community,think,years,just,union
coeffMax,0.998,0.998,0.999,0.602,0.999,0.997,0.997,0.998,0.997,0.999,0.999,0.999,0.999,0.999,1.0
coeffDiff,0.998,0.998,0.999,0.207,0.999,0.996,0.995,0.997,0.997,0.999,0.999,0.999,0.999,0.999,1.0
speechId,48894,44984,45160,49039,48912,36602,49030,34418,13527,13234,45157,13243,48859,48987,49017
topicCount,10,14,5,2,56,9,4,16,10,48,40,61,22,9,6
percentage,3.2,4.5,1.6,0.6,17.9,2.9,1.3,5.1,3.2,15.4,12.8,19.6,7.1,2.9,1.9
