,0,1,2,3,4,5,6,7,8,9
0,community,freedom,sex,plebiscite,equality,issue,charities,amendments,children,religious
1,lgbtiq,percent,couples,prime,love,views,charity,senate,institution,freedom
2,want,yes,government,government,parliament,view,charitable,amendment,man,religion
3,yes,survey,discrimination,labor,equal,position,commissioner,member,woman,celebrants
4,like,religious,superannuation,australian,minister,think,entity,house,society,amendment
5,gay,voted,relationships,debate,australians,election,status,don,union,beliefs
6,years,freedoms,adoption,minister,prime,change,religious,debate,parents,civil
7,young,australians,facto,parliament,party,sex,act,think,sex,freedoms
8,time,australian,gay,vote,let,debate,tax,going,family,celebrant
9,survey,postal,act,australians,time,party,organisations,want,relationship,belief
10,love,protections,labor,issue,laws,matter,relevant,today,social,solemnise
11,equality,vote,legislation,lgbti,law,member,amendments,won,life,ministers
12,long,electorate,commonwealth,million,right,parliament,assessment,time,mother,refuse
13,thank,sex,community,opposition,support,conscience,faith,legislation,law,rights
14,friends,faith,lesbian,party,discrimination,vote,funding,committee,families,protection
coeffMax,0.242,0.329,0.499,0.455,0.387,0.415,0.504,0.328,0.471,0.469
coeffDiff,0.158,0.23,0.44,0.359,0.311,0.382,0.495,0.264,0.47,0.428
speechId,48859,48912,13230,45232,44984,33395,49047,48998,13323,49065
topicCount,42,44,32,41,22,32,12,26,28,33
percentage,13.5,14.1,10.3,13.1,7.1,10.3,3.8,8.3,9.0,10.6
