,sentiDiff
2997,0.6291
6410,0.629
3328,0.629
3066,0.629
3010,0.6289
2996,0.6289
3025,0.6289
3042,0.6289
3047,0.6287
3043,0.6287
3013,0.6285999999999999
2994,0.6285
3012,0.6284
2993,0.6284
2998,0.6284
2995,0.6283
3045,0.6283
3017,0.6282
3919,0.6281
3054,0.628
3003,0.6278
3055,0.6277
2999,0.6277
3040,0.6275999999999999
3000,0.6275999999999999
3037,0.6275999999999999
3049,0.6275
4623,0.6274
3234,0.6273
3065,0.6273
3028,0.6273
3015,0.6271
3018,0.6271
3001,0.627
3052,0.6268
3048,0.6268
3420,0.6268
3067,0.6268
3002,0.6267
2991,0.6265999999999999
3041,0.6265999999999999
3027,0.6265
3050,0.6265
3044,0.6264
3057,0.6262
2519,0.6262
3046,0.6255999999999999
3024,0.6254
3006,0.6252
3004,0.6247
3016,0.6242
3036,0.6242
3051,0.6239
3062,0.6229
2908,0.6229
3032,0.6217
3033,0.6212
3038,0.6207
2826,0.6205999999999999
3061,0.6205999999999999
3020,0.6202
3005,0.62
3039,0.6198
3056,0.6192
2447,0.6192
3011,0.6191
3034,0.6188
2594,0.6167
3058,0.6167
3019,0.6152
3029,0.6144999999999999
3053,0.6129
3021,0.6127
2992,0.6123999999999999
2990,0.6123
3059,0.6083999999999999
2669,0.6083999999999999
12659,0.6077
12666,0.6077
12656,0.6076
12657,0.6076
12676,0.6075
12660,0.6074
12668,0.6074
12674,0.6073000000000001
12712,0.6073000000000001
12667,0.6073000000000001
12783,0.6073000000000001
12032,0.6072
12708,0.6072
12665,0.6072
12658,0.6071
12663,0.6071
12664,0.607
12662,0.6068
11615,0.6068
12702,0.6068
12172,0.6067
12709,0.6067
12678,0.6066
13379,0.6065
12669,0.6065
12718,0.6065
12661,0.6065
12720,0.6063000000000001
12673,0.6063000000000001
10462,0.6063000000000001
13590,0.6063000000000001
12685,0.6063000000000001
12717,0.6061
13307,0.6061
12707,0.6058
11962,0.6058
12703,0.6046
11684,0.6046
10344,0.6045
12680,0.6045
12683,0.6045
2985,0.6041
3063,0.6041
