,stability
2,0.8218028638028638
3,0.770732655688538
4,0.8609825174825175
5,0.7718460664722274
6,0.7635320141101876
7,0.7462245052726034
8,0.6286302027221145
9,0.7158429551566807
10,0.6519876033065661
11,0.6165978436846014
12,0.610272588164616
13,0.5837611389034347
14,0.5569279058758825
15,0.60588988905831
16,0.6155101904781665
17,0.5548439848512239
18,0.635291312894383
19,0.6114054964371894
20,0.6587277751445322
21,0.6224195705722686
22,0.6463113239021979
23,0.6571436516811736
24,0.6028924885922756
25,0.6488018666026096
