,stability
2,0.8218028638028638
3,0.770732655688538
4,0.8609825174825175
5,0.7718460664722274
6,0.7626027211808946
7,0.7462245052726034
8,0.6372534365896401
9,0.7258532935836858
10,0.6391002684192314
11,0.5893858303718984
12,0.6256843173811053
13,0.536209388174737
14,0.650263093478098
15,0.6356293794841783
16,0.5829826284289326
17,0.6385067895236352
18,0.6659012391785868
19,0.6278753979124275
20,0.610966542062169
21,0.6288903993773521
22,0.604667857871559
23,0.6141921147756388
24,0.6213796479864591
25,0.5707186366677697
