,stability
2,0.8666061805898495
3,0.8056189192338831
4,0.8455532548419933
5,0.7652298675069172
6,0.704152323435381
7,0.6667189793037409
8,0.5367070118049954
9,0.5997156010557463
10,0.5917540171269459
11,0.5538675973760618
12,0.5255396097540743
13,0.5528753678019392
14,0.5011330449176588
15,0.5498581917527909
16,0.5406709550971989
17,0.5624183094020834
18,0.544163733184104
19,0.5648785861854755
20,0.5194174157142788
21,0.5622659083029654
22,0.5550780826896918
23,0.5615944710233807
24,0.5381777509835761
25,0.5361668838230398
