,stability
2,0.49478412621143275
3,0.3850970980427357
4,0.4731752842836299
5,0.41218849159490717
6,0.38239164942467574
7,0.4023675983388742
8,0.3868012576435958
9,0.3690112167584067
10,0.35013495106536047
11,0.331335312285593
12,0.3005607441397877
13,0.28649941779534643
14,0.31674282404782916
15,0.33539320984750554
16,0.30363534058519986
17,0.3147787719002631
18,0.328039193934607
19,0.3110074181450689
20,0.3090863381206599
21,0.3002683170042669
22,0.30921130024030286
23,0.2951364468878515
24,0.2923688347042421
25,0.297126029910273
