,stability
2,0.3632698412698412
3,0.37448677248677237
4,0.5368333333333333
5,0.3230698412698413
6,0.35944179894179895
7,0.3429478458049886
8,0.3086884920634921
9,0.3657619047619048
10,0.40338571428571424
11,0.41408802308802306
12,0.335297619047619
13,0.3241379731379731
14,0.31820861678004525
15,0.3003989417989418
16,0.2779702380952381
17,0.3189589169000933
18,0.31976278659611984
19,0.32191896407685877
20,0.31466587301587295
21,0.3078208616780045
22,0.33277849927849923
23,0.33754865424430636
24,0.3293921957671957
25,0.3336584126984127
