,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,community,freedom,couple,labor,plebiscite,child,charity,view,vote,amendment,officer,celebrant,family,equality
1,want,religious,sex,election,debate,institution,charitable,issue,survey,senate,belief,religious,church,love
2,gay,religion,discrimination,party,prime,society,commissioner,think,percent,member,item,list,mother,law
3,year,belief,government,member,australian,woman,status,change,yes,house,entity,category,kate,parliament
4,young,protection,relationship,vote,parliament,man,charities,sex,electorate,debate,chaplain,perform,choice,right
5,like,protect,adoption,position,government,parent,religious,member,postal,think,authorised,90,child,equal
6,lgbtiq,faith,superannuation,change,australians,union,act,debate,australian,want,insert,civil,sex,australians
7,know,right,facto,promise,minister,family,amendment,believe,result,discrimination,subsection,ceremony,liz,time
8,come,conscience,gay,opposition,issue,relationship,tax,parliament,australians,seek,page,religion,deep,member
9,friend,law,law,government,lgbti,social,organisation,matter,religious,second,omit,solemnise,support,lgbtiq
10,feel,amendment,lesbian,coalition,million,change,entity,position,respect,committee,schedule,register,school,party
11,time,church,act,debate,campaign,law,confirm,electorate,process,support,person,opt,uhlmann,prime
12,today,traditional,remove,australian,vote,legislation,purpose,conscience,change,legislation,substitute,freedom,life,discrimination
13,love,view,commonwealth,definition,make,definition,assessment,different,support,make,force,amendment,rose,minister
14,campaign,hold,state,policy,referendum,biological,dgr,personal,majority,today,section,website,equality,vote
15,thank,international,heterosexual,issue,community,life,relevant,act,view,time,appoint,final,daughter,work
16,yes,speech,legislation,prime,democracy,australian,concern,support,sex,point,line,minister,love,let
17,family,sex,community,leader,opposition,enter,law,express,participation,delay,conscientious,sex,father,australia
18,make,conscientious,discriminate,disdain,200,act,funding,community,national,oppose,relevant,wedding,meet,country
19,long,australians,relation,year,argument,love,provide,way,participate,opposition,religious,day,year,marry
