,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,lgbtiq,freedom,view,plebiscite,equality,child,charity,want,vote,amendment,officer,celebrant,family,love,church,belief,election,adoption,opposition,discrimination
1,equality,religious,issue,debate,prime,society,charitable,school,survey,senate,item,list,mother,let,faith,international,labor,government,pm,relationship
2,community,protection,change,australian,minister,man,commissioner,talk,percent,discrimination,chaplain,category,kate,vote,religious,article,party,law,member,sex
3,survey,religion,think,australians,parliament,woman,status,young,yes,celebrant,authorised,religious,choice,fair,god,human,change,couple,second,couple
4,family,protect,sex,issue,party,institution,charities,think,electorate,member,belief,perform,liz,time,protection,rights,position,provision,debate,gay
5,thank,belief,member,government,member,parent,act,really,postal,committee,insert,90,deep,equal,catholic,covenant,promise,act,question,facto
6,friend,traditional,debate,campaign,law,family,amendment,regional,australian,religious,entity,civil,child,gay,service,right,vote,sex,speech,superannuation
7,long,amendment,believe,million,matter,relationship,religious,community,result,want,subsection,ceremony,support,marry,run,18,definition,country,15,lesbian
8,campaign,conscience,position,lgbti,right,union,tax,come,respect,house,page,religion,sex,day,state,religion,member,overseas,gallery,remove
9,want,speech,matter,parliament,liberal,social,entity,know,australians,oppose,omit,opt,uhlmann,change,religion,law,coalition,australia,read,heterosexual
10,australians,australians,parliament,vote,love,biological,confirm,like,change,support,schedule,solemnise,love,year,year,freedom,policy,territory,house,government
11,yes,sex,conscience,prime,achieve,legislation,organisation,gay,religious,think,substitute,register,rose,parliament,business,conscience,australian,attorney,leader,community
12,year,view,electorate,referendum,equal,change,purpose,country,majority,compromise,line,website,father,today,law,declaration,government,intercountry,leave,discriminate
13,fight,faith,act,community,country,traditional,assessment,australia,support,debate,appoint,freedom,constituent,law,christian,hold,issue,state,speaker,member
14,feel,express,personal,minister,sponsor,definition,relevant,ask,process,seek,force,final,nurture,right,life,treaty,disdain,contain,grant,homosexual
15,time,right,different,democracy,work,mother,dgr,vote,sex,pass,section,day,equality,belong,bishop,civil,debate,enter,time,partner
16,lgbti,vote,community,opposition,vote,life,funding,thing,view,propose,person,sex,strike,person,fisher,basis,clear,matter,afternoon,family
17,like,law,express,make,support,father,concern,rural,participation,delay,religious,wedding,meet,great,organisation,point,2010,commonwealth,mpi,legislation
18,hard,want,support,200,australians,define,provide,make,western,consider,conscientious,commonwealth,life,respect,daughter,manifest,greens,adopt,make,area
19,proud,minister,way,question,make,raise,affect,wangaratta,question,unnecessary,solemnise,window,school,proud,debate,tribunal,know,measure,suspension,commitment
