,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,equality,freedom,children,plebiscite,equality,views,charities,going,love,discrimination,religious,labor,entity,officer,amendments,nation,women,kate,list,gay,opposition,election,adoption,pm,percent,church
1,lgbtiq,conscience,institution,issue,prime,issue,charity,don,let,sex,religion,party,item,defence,senate,australian,indigenous,mother,celebrants,relationships,agreed,definition,government,15,survey,daughter
2,community,religion,man,debate,minister,view,charitable,got,equal,couples,celebrants,members,belief,force,won,change,change,choice,perform,superannuation,read,position,couples,debate,yes,wisdom
3,yes,rights,woman,vote,parliament,think,commissioner,want,years,remove,amendment,member,page,authorised,amendment,australians,changed,deep,90,lesbian,question,change,sex,submitted,electorate,fisher
4,survey,belief,society,australian,australians,community,status,think,attracted,act,freedoms,leader,schedule,cdf,member,great,married,liz,ceremonies,facto,leader,said,act,afternoon,voted,god
5,want,international,parents,lgbti,matter,debate,tax,church,fair,rights,refuse,government,subsection,chaplain,discrimination,lives,years,family,category,community,second,coalition,overseas,mpi,religious,coroner
6,long,beliefs,union,million,law,sex,religious,really,despite,85,freedom,australian,relevant,appointed,debate,process,society,uhlmann,opt,government,amendment,disdain,intercountry,90,postal,privilege
7,thank,article,relationship,government,liberal,parliament,act,know,parliament,view,solemnise,families,omit,appointment,house,believe,equality,struck,civil,minister,substituting,cowan,attorney,indulgence,vote,solomon
8,time,freedoms,social,campaign,parties,personal,amendments,young,laws,equality,ministers,prime,insert,overseas,think,society,debate,support,religious,prime,leave,say,states,madam,protections,prayer
9,friends,human,biological,referendum,member,position,assessment,like,time,removed,protection,debate,person,chaplains,committee,make,ago,children,categories,discrimination,immediate,vote,provisions,statements,australian,years
10,campaign,covenant,family,australians,australia,believe,confirmed,regional,marry,marry,protections,opposition,section,senate,delay,debate,1975,rose,registered,relationship,omitted,contacted,law,30,freedoms,life
11,lgbti,18,families,parliament,country,electorate,organisations,lot,right,member,church,support,substitute,serving,time,important,australian,raised,celebrant,couples,addressed,policy,australia,gallery,sex,catholic
12,like,traditional,sex,sex,turnbull,conscience,dgr,school,gay,labor,senate,minister,act,conscientious,legislation,law,1967,unions,website,loving,cunningham,greens,territories,speaker,australians,number
13,australians,conscientious,child,200,party,different,funding,said,equality,throsby,faith,liberal,paragraph,personnel,don,live,law,suggestion,decide,partner,view,promises,commonwealth,second,result,stance
14,proud,protect,definition,community,rights,member,advice,say,person,commitment,state,free,line,officers,today,country,preference,father,sex,heterosexual,words,labor,definition,return,respect,story
15,young,religious,traditional,opposition,equal,members,services,bishop,day,relationship,antidiscrimination,vote,holds,forces,greens,commitment,nondiscrimination,sides,final,legislation,inquiry,stand,measures,suspension,majority,internal
16,love,speech,legislation,democracy,government,matter,advancing,country,vote,pieces,compromise,conscience,organisations,objection,celebrants,moment,laws,constituents,window,sex,original,2010,countries,speech,views,skin
17,years,sex,relationships,prime,support,current,entity,wangaratta,young,churches,laws,important,body,select,say,australia,late,love,lists,family,position,issue,institution,house,process,tell
18,finally,fundamental,environment,question,political,support,unlikely,talk,won,2012,exemptions,coalition,faith,armed,want,way,changes,sex,separate,homosexual,inevitably,promise,country,question,participation,teachings
19,hard,protections,exclusion,labor,reality,act,unnecessary,australia,knows,commonwealth,section,years,based,military,let,values,sexual,foy,religion,rights,suggests,ha,laws,deputy,freedom,wife
