,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,equality,freedom,children,plebiscite,equality,views,charities,going,love,adoption,religious,labor,entity,officer,amendments,international,women,kate,list,gay,pm,election,opposition,discrimination,man,regional,survey,daughter
1,lgbtiq,religious,parents,australian,prime,issue,charity,don,let,government,celebrants,party,item,defence,senate,rights,indigenous,mother,perform,lesbian,15,definition,agreed,sex,woman,bishop,percent,church
2,community,faith,sex,debate,minister,view,charitable,think,equal,couples,amendment,members,belief,force,won,article,change,choice,celebrants,community,debate,position,read,couples,society,wangaratta,yes,wisdom
3,yes,freedoms,institution,issue,parliament,think,commissioner,got,fair,sex,religion,member,page,authorised,discrimination,freedom,changed,deep,90,relationships,submitted,change,question,facto,institution,rural,electorate,fisher
4,survey,religion,biological,vote,australians,sex,status,church,day,act,senate,leader,schedule,cdf,member,human,married,liz,ceremonies,government,afternoon,said,leader,remove,union,indi,postal,coroner
5,want,protections,child,australians,matter,debate,tax,want,laws,overseas,ministers,families,subsection,chaplain,debate,belief,years,family,category,superannuation,mpi,disdain,second,relationships,law,australia,voted,privilege
6,australians,traditional,families,government,liberal,community,religious,know,parliament,intercountry,refuse,government,relevant,appointed,house,covenant,debate,uhlmann,opt,minister,90,coalition,amendment,relationship,children,harry,vote,solomon
7,long,conscience,family,lgbti,parties,parliament,act,really,attracted,attorney,solemnise,australian,omit,appointment,amendment,18,society,struck,religious,prime,indulgence,policy,substituting,act,entered,anglican,australian,god
8,time,speech,social,million,law,believe,assessment,lot,person,states,freedoms,support,person,overseas,think,religion,equality,support,civil,homosexual,madam,cowan,leave,superannuation,relationship,inner,religious,prayer
9,thank,australians,mother,campaign,member,position,amendments,school,despite,provisions,compromise,debate,insert,chaplains,delay,declaration,ago,rose,categories,homosexuals,statements,vote,addressed,rights,voluntarily,like,result,years
10,friends,sex,love,referendum,party,personal,confirmed,run,marry,territories,protection,opposition,section,serving,time,treaties,1975,raised,registered,australian,30,say,omitted,member,exclusion,behalf,respect,life
11,campaign,protect,equality,parliament,plebiscite,conscience,dgr,say,years,law,antidiscrimination,conscience,substitute,personnel,committee,beliefs,changes,unions,website,facto,gallery,contacted,immediate,heterosexual,act,god,australians,number
12,like,beliefs,relationship,200,country,electorate,organisations,young,time,australia,exemptions,prime,act,conscientious,legislation,conscience,australian,suggestion,decide,living,speaker,greens,cunningham,legislation,definition,faith,process,catholic
13,love,amendments,father,democracy,turnbull,different,advice,said,right,commonwealth,freedom,vote,paragraph,senate,today,civil,nondiscrimination,sides,sex,issue,second,labor,position,labor,sanctity,community,majority,stance
14,young,christian,heterosexual,sex,australia,matter,funding,saying,won,measures,laws,liberal,line,forces,don,law,preference,constituents,celebrant,australians,return,promises,words,amendment,legislation,make,freedoms,story
15,proud,views,parent,opposition,vote,change,advancing,thing,country,superannuation,want,free,holds,officers,comments,basis,laws,foy,lists,reform,suspension,2010,view,removed,coalition,country,protections,internal
16,lgbti,yes,natural,change,equal,support,unlikely,like,belongs,definition,committee,minister,organisations,armed,greens,tribunal,1967,homophobic,final,marriages,speech,stand,inquiry,commonwealth,australian,really,sex,skin
17,years,conscientious,legal,question,support,members,services,churches,proud,countries,marriages,coalition,faith,objection,kennedy,nations,case,okay,window,men,house,issue,inevitably,view,community,references,change,tell
18,finally,voted,relationships,community,government,member,unnecessary,little,vote,country,beliefs,important,body,select,let,universal,law,love,religion,family,question,promise,original,85,traditional,bring,participation,wife
19,acknowledge,honour,need,labor,achieve,act,entity,vote,lies,adoptions,relation,conference,purposes,military,say,fundamental,australians,alice,separate,years,defer,clear,suggests,throsby,life,cathy,views,conflict
