,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,lgbtiq,freedom,children,plebiscite,equality,views,charities,going,love,discrimination,list,labor,entity,percent,amendments,prime,women,kate,adoption,gay,election,amendment,act,pm,survey,regional,daughter,religious,submission,wangaratta,officer,faith,opposition
1,community,rights,institution,australian,australians,issue,charity,think,let,facto,perform,party,item,yes,senate,minister,indigenous,mother,government,lesbian,definition,religion,entered,15,safeguards,rural,wisdom,celebrants,sex,bishop,defence,church,leader
2,equality,conscience,society,issue,law,view,charitable,don,equal,relationships,celebrants,members,belief,voted,won,parliament,change,choice,intercountry,community,position,corangamite,definition,debate,process,inner,fisher,amendment,election,indi,cdf,religious,agreed
3,yes,religion,man,debate,rights,sex,commissioner,got,equality,sex,90,member,page,electorate,debate,liberal,changed,deep,couples,homosexual,change,house,institution,submitted,government,references,church,refuse,tennis,anglican,force,protections,question
4,want,belief,woman,vote,australia,think,status,want,attracted,couples,ceremonies,families,schedule,vote,discrimination,party,married,liz,sex,australians,said,freedom,government,afternoon,postal,cities,coroner,freedoms,professor,harry,authorised,god,read
5,survey,international,parents,australians,parliament,debate,tax,know,laws,superannuation,category,australian,subsection,survey,protections,equality,years,family,states,government,disdain,manifest,law,mpi,community,electorates,solomon,religion,discrimination,behalf,chaplain,christian,second
6,long,beliefs,union,government,support,community,religious,really,fair,relationship,opt,leader,omit,religious,think,matter,debate,uhlmann,attorney,homosexuals,labor,act,sex,90,provisions,australia,privilege,ministers,coalition,community,appointed,freedom,amendment
7,time,article,relationship,campaign,reality,personal,act,church,parliament,remove,religious,support,relevant,postal,committee,parties,society,struck,territories,man,contacted,observance,contained,indulgence,conduct,towns,prayer,senate,law,rural,appointment,state,addressed
8,thank,human,social,lgbti,time,parliament,assessment,school,despite,heterosexual,civil,government,insert,freedoms,comments,national,1975,rose,superannuation,australia,cowan,practice,overseas,madam,lgbti,voted,years,solemnise,equality,gender,overseas,religion,position
9,love,covenant,family,million,acknowledge,electorate,amendments,lot,right,legislation,categories,conscience,person,australian,member,vote,ago,raised,relation,marriages,say,amendments,laws,30,australians,ask,life,compromise,inquiry,cathy,chaplains,based,view
10,friends,18,biological,sex,right,believe,confirmed,young,years,rights,registered,sex,substitute,australians,time,leader,australian,support,child,australian,vote,worship,australia,statements,australian,utterly,god,antidiscrimination,melbourne,parkes,serving,federation,substituting
11,campaign,freedoms,families,referendum,laws,conscience,dgr,say,person,amendment,website,conference,section,sex,kennedy,government,changes,children,overseas,commitment,party,member,country,second,vilification,totally,story,exemptions,removed,bring,personnel,freedoms,omitted
12,proud,conscientious,child,200,member,different,organisations,said,country,partner,decide,free,line,respect,let,member,case,unions,commonwealth,living,stand,teaching,couples,speaker,debate,talking,stance,want,deputy,commitment,conscientious,schools,inquiry
13,finally,traditional,traditional,parliament,children,position,entity,run,time,family,celebrant,opposition,paragraph,protections,delay,turnbull,preference,suggestion,policy,life,coalition,lawful,1961,return,broadcasters,refer,number,protection,couples,reverend,senate,organisations,immediate
14,australians,law,relationships,democracy,equal,member,unlikely,like,marry,loving,sex,years,act,result,greens,plebiscite,1967,love,adoptions,woman,know,doesn,understanding,suspension,additional,amending,internal,laws,greens,like,officers,catholic,cunningham
15,young,religious,sex,change,lgbti,act,advice,thing,knows,member,window,vote,holds,freedom,supporting,just,nondiscrimination,father,territory,issue,clear,senate,fundamental,defer,opportunity,communities,catholic,committee,policy,australia,objection,orthodox,inevitably
16,years,declaration,legislation,way,opportunity,support,funding,saying,day,institution,lists,coalition,organisations,majority,canning,members,late,sides,provisions,thousands,expressed,right,valid,gallery,apply,answer,skin,relation,firm,asking,forces,england,words
17,like,protect,mother,labor,human,matter,unnecessary,talk,reform,community,final,issue,body,views,risk,room,law,foy,provision,men,promise,contributor,marriages,question,statistics,like,tell,civil,campaign,regional,select,christianity,suggests
18,day,fundamental,environment,opposition,joy,members,advancing,little,lies,government,separate,important,purposes,change,hatred,political,did,constituents,issue,transgender,promises,galleries,reiterated,orders,fix,overwhelmingly,conflict,marriages,parkinson,young,armed,run,proceedings
19,hard,held,life,question,country,received,relevant,come,proud,act,religion,debate,authorised,said,say,debate,remained,okay,australia,88e,ha,faith,legislation,speech,notwithstanding,areas,wife,existing,functional,today,improve,speech,original
