,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,lgbtiq,freedom,children,plebiscite,equality,issue,charities,going,love,discrimination,religious,labor,entity,percent,amendments,prime,women,kate,list,gay,man,election,act,pm,regional,sex,daughter,opposition,groom,officer,faith,survey,adoption,wangaratta
1,community,rights,institution,australian,australians,think,charity,don,let,sex,celebrants,party,item,yes,senate,minister,indigenous,mother,perform,lesbian,woman,definition,definition,15,rural,received,wisdom,agreed,toowoomba,defence,church,safeguards,government,bishop
2,equality,religion,society,debate,law,view,charitable,got,equal,facto,amendment,members,belief,voted,won,parliament,change,choice,90,commitment,union,change,institution,debate,inner,views,fisher,read,result,force,religious,process,couples,indi
3,yes,conscience,parents,issue,rights,views,commissioner,think,equality,couples,religion,member,page,vote,discrimination,liberal,changed,deep,celebrants,community,community,position,entered,afternoon,references,percent,church,question,yes,authorised,protections,government,intercountry,anglican
4,want,belief,social,vote,australia,debate,status,want,attracted,relationships,ministers,families,schedule,religious,debate,party,married,liz,ceremonies,homosexual,voluntarily,said,government,submitted,voted,electorate,coroner,leader,queensland,cdf,god,postal,sex,harry
5,survey,international,family,australians,parliament,position,tax,church,fair,superannuation,senate,leader,relevant,australian,member,equality,years,family,category,homosexuals,88e,coalition,sex,mpi,cities,letters,privilege,second,inland,chaplain,christian,provisions,states,community
6,long,article,woman,government,reality,parliament,religious,school,laws,relationship,refuse,australian,omit,australians,house,matter,debate,uhlmann,opt,australians,insert,disdain,contained,90,towns,emails,solomon,amendment,survey,appointed,freedom,community,attorney,behalf
7,love,human,child,lgbti,time,believe,act,know,right,remove,solemnise,support,person,electorate,amendment,parties,society,struck,religious,years,entered,policy,law,indulgence,australia,support,prayer,substituting,electorates,appointment,state,conduct,superannuation,rural
8,time,beliefs,man,campaign,support,different,assessment,lot,despite,legislation,freedoms,government,subsection,freedoms,delay,national,1975,rose,categories,course,message,contacted,overseas,madam,electorates,constituents,years,leave,community,overseas,religion,lgbti,territories,gender
9,thank,covenant,families,million,acknowledge,community,amendments,young,country,rights,freedom,opposition,substitute,postal,think,government,australian,raised,registered,today,subsection,greens,laws,statements,utterly,private,life,omitted,pastor,chaplains,based,vilification,relation,cathy
10,friends,18,relationship,referendum,laws,conscience,confirmed,really,parliament,heterosexual,compromise,conscience,insert,survey,protections,member,case,support,civil,men,section,cowan,fundamental,30,ask,member,god,immediate,business,serving,federation,additional,child,parkes
11,campaign,declaration,biological,sex,equal,way,dgr,run,knows,act,protection,conference,section,freedom,don,vote,nondiscrimination,unions,website,marriages,thousands,say,understanding,second,totally,relationships,stance,words,personal,personnel,organisations,broadcasters,overseas,bring
12,australians,conscientious,union,200,right,change,organisations,say,day,amendment,antidiscrimination,free,act,respect,legislation,turnbull,1967,suggestion,decide,person,lesbian,labor,valid,speaker,talking,email,story,addressed,electorate,conscientious,schools,australians,commonwealth,commitment
13,proud,freedoms,relationships,democracy,opportunity,vote,advice,said,years,family,want,years,paragraph,sex,today,members,preference,love,celebrant,australian,exclusion,promises,1961,gallery,amending,relationship,number,original,south,senate,freedoms,apply,policy,australia
14,young,fundamental,legislation,labor,lgbti,act,unlikely,little,reform,member,exemptions,coalition,line,protections,committee,political,ago,children,window,say,government,2010,country,return,refer,personal,internal,cunningham,wales,forces,catholic,debate,adoptions,regional
15,finally,law,traditional,opposition,member,gippsland,advancing,thing,lies,community,relation,vote,holds,change,time,leader,changes,sides,lists,love,gay,vote,couples,suspension,overwhelmingly,number,catholic,inevitably,centre,armed,orthodox,australian,territory,asking
16,years,traditional,mother,parliament,human,issues,entity,saying,won,labor,amendments,debate,organisations,majority,kennedy,just,late,foy,final,recognition,law,promise,australia,defer,answer,commitment,skin,view,case,officers,england,statistics,provisions,like
17,like,civil,love,question,country,personal,unnecessary,like,person,commonwealth,beliefs,important,body,views,comments,room,law,okay,sex,life,life,stand,marriages,deputy,areas,contacted,conflict,inquiry,shelton,objection,christianity,fix,relationships,young
18,vote,held,father,change,joy,sex,funding,told,time,loving,marriages,liberal,purposes,voting,let,plebiscite,remained,constituents,separate,issue,discriminate,matter,reiterated,speech,special,change,tell,position,national,select,speech,opportunity,issue,reverend
19,day,amendment,australian,way,speak,electorate,amendment,dress,bells,removed,minister,senator,beliefs,result,greens,house,equality,homophobic,line,said,ordinary,issue,countries,question,country,recognition,wife,suggests,certainly,military,churches,notwithstanding,australia,today
