,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,lgbtiq,freedom,children,plebiscite,equality,views,charities,going,love,discrimination,item,labor,entity,percent,amendments,prime,women,kate,adoption,gay,man,election,act,expression,nation,daughter,pm,list,officer,faith,commonwealth,survey,religious,international,regional
1,community,freedoms,institution,issue,australians,issue,charity,think,let,facto,page,party,belief,yes,senate,minister,indigenous,mother,government,lesbian,woman,definition,definition,churches,australian,wisdom,opposition,perform,defence,church,religion,safeguards,celebrants,rights,wangaratta
2,equality,religious,parents,vote,law,view,charitable,don,equal,sex,schedule,member,relevant,electorate,won,parliament,change,choice,intercountry,commitment,union,position,institution,statement,change,fisher,second,90,force,religious,constitution,process,amendment,article,bishop
3,yes,conscience,society,debate,australia,think,commissioner,got,equality,relationships,omit,leader,person,survey,debate,liberal,changed,liz,couples,community,voluntarily,change,entered,sex,australians,church,question,celebrants,cdf,god,shall,postal,senate,human,rural
4,want,religion,social,lgbti,parliament,sex,status,want,attracted,superannuation,substitute,members,holds,voted,discrimination,party,married,deep,sex,homosexual,community,disdain,sex,commitment,calare,coroner,15,ceremonies,authorised,christian,relation,government,ministers,freedom,indi
5,survey,traditional,woman,million,support,personal,tax,know,laws,couples,line,opposition,act,vote,member,equality,years,family,states,homosexuals,88e,coalition,contained,renewed,respect,privilege,debate,category,chaplain,protections,qualification,community,refuse,covenant,harry
6,long,speech,biological,government,rights,position,religious,really,right,relationship,celebrant,australian,section,religious,think,matter,debate,uhlmann,attorney,years,entered,said,government,relation,process,solomon,submitted,opt,appointed,state,prolong,provisions,solemnise,belief,australia
7,love,protections,child,campaign,acknowledge,believe,act,church,despite,remove,subsection,families,subsection,postal,house,parties,society,struck,territories,australians,insert,labor,overseas,view,great,prayer,read,religious,appointment,organisations,pulpit,lgbti,freedoms,18,anglican
8,thank,sex,man,australian,reality,debate,assessment,lot,fair,heterosexual,insert,support,paragraph,result,delay,government,1975,rose,superannuation,marriages,message,policy,fundamental,slope,debate,years,agreed,categories,overseas,based,116,conduct,compromise,religion,inner
9,campaign,australians,family,australians,time,conscience,amendments,school,knows,amendment,solemnise,government,beliefs,respect,legislation,national,ago,support,overseas,course,subsection,greens,valid,slippery,maranoa,life,afternoon,registered,chaplains,orthodox,establishing,australians,antidiscrimination,declaration,like
10,time,conscientious,relationship,referendum,equal,community,confirmed,young,country,rights,religious,conscience,vaa,sex,time,vote,preference,raised,child,men,exclusion,say,laws,defend,believe,god,amendment,civil,serving,bishop,imposing,vilification,committee,treaties,behalf
11,friends,beliefs,families,200,laws,electorate,dgr,say,reform,act,authorised,free,purposes,freedoms,today,political,nondiscrimination,unions,relation,said,lesbian,vote,understanding,couples,law,story,reading,website,personnel,catholic,prohibiting,broadcasters,religion,civil,really
12,finally,protect,union,opposition,member,parliament,organisations,said,years,family,11,vote,authority,majority,comments,members,1967,suggestion,adoptions,like,thousands,cowan,couples,discrimination,society,stance,leader,decide,conscientious,federation,observance,additional,protection,basis,references
13,proud,amendments,sex,sex,lgbti,matter,unlikely,run,parliament,legislation,religion,conference,contravention,protections,protections,just,changes,love,policy,love,section,contacted,1961,parliament,make,number,mpi,final,senate,schools,protections,apply,civil,beliefs,make
14,years,views,mother,parliament,right,members,advice,saying,won,partner,refusal,years,body,australian,don,turnbull,equality,sides,territory,issue,law,promises,law,participated,live,internal,speaker,window,forces,christianity,australian,debate,exemptions,law,cities
15,young,yes,relationships,democracy,opportunity,different,advancing,thing,lies,government,traditional,important,conduct,western,kennedy,member,late,constituents,australia,person,government,2010,marriages,legislation,lives,catholic,suspension,lists,objection,england,religious,opportunity,amendments,tribunal,towns
16,like,house,traditional,community,country,support,unnecessary,like,time,loving,17,issue,insert,australians,amendment,room,case,foy,commonwealth,today,society,promise,reiterated,freedom,important,skin,indulgence,celebrant,armed,run,strongest,fix,want,conscience,community
17,australians,voted,love,labor,couples,change,reason,talk,person,community,lines,sex,organisations,participation,exactly,leader,1902,children,issue,year,life,party,country,member,way,conflict,madam,sex,officers,religion,section,statistics,opposes,universal,country
18,hard,amendment,father,question,speak,current,fringe,little,marry,labor,section,coalition,based,said,canning,debate,remained,okay,provisions,recognition,gay,ha,australia,denial,australia,tell,offer,religion,select,agencies,trust,notwithstanding,laws,nations,cathy
19,day,belief,legislation,way,joy,act,services,come,bells,equal,exemptions,process,meaning,views,say,house,sexual,homophobic,provision,life,coalition,clear,countries,way,fair,wife,house,separate,improve,maronite,test,australian,labor,hauled,bring
