,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,yes,freedom,superannuation,plebiscite,equality,issue,charities,got,love,discrimination,item,labor,entity,officer,amendments,prime,indigenous,kate,adoption,gay,lgbti,election,act,expression,lgbtiq,man,daughter,list,amendment,faith,religious,children,commonwealth,opposition,percent,relationships,church,women,regional,pm,burke,won,sex,reading,international,homosexuals,fair,survey,leave,groom
1,equality,freedoms,government,australian,acknowledge,think,charity,don,equality,sex,schedule,party,belief,defence,senate,minister,ago,choice,government,lesbian,community,definition,institution,churches,australians,woman,wisdom,perform,religion,god,celebrants,parents,religion,agreed,electorate,institution,going,indigenous,wangaratta,submitted,edmund,love,received,offer,rights,homosexual,belongs,safeguards,tabled,toowoomba
2,community,religious,relationships,debate,australians,view,charitable,school,equal,couples,page,member,relevant,cdf,debate,parliament,years,mother,intercountry,commitment,discrimination,change,government,statement,want,union,fisher,90,corangamite,church,amendment,institution,shall,leader,survey,relationship,facilities,change,bishop,afternoon,quo,let,views,second,article,marital,voted,process,granted,result
3,love,conscience,facto,vote,parliament,views,commissioner,going,attracted,act,omit,members,person,force,discrimination,equality,changed,liz,couples,australians,time,position,entered,renewed,equality,voluntarily,church,celebrants,manifest,religious,senate,society,constitution,question,yes,society,business,equality,rural,15,debate,bigotry,percent,speeches,human,self,love,government,house,inland
4,friends,religion,discrimination,issue,law,position,status,young,reform,rights,substitute,families,holds,authorised,think,liberal,louise,deep,attorney,love,survey,disdain,definition,sex,long,88e,coroner,ceremonies,observance,christian,freedoms,social,relation,read,vote,legislation,run,married,indi,mpi,argued,sweet,letters,suspension,freedom,editorial,australian,provisions,behalf,queensland
5,vote,traditional,sex,government,reality,believe,tax,dress,ready,labor,line,australian,subsection,chaplain,committee,party,time,family,states,course,haven,said,contained,relation,survey,community,privilege,category,act,based,antidiscrimination,biological,qualification,substituting,postal,facto,churches,1975,harry,90,sister,going,emails,15,covenant,social,respect,postal,gallery,yes
6,young,protections,partner,australians,rights,debate,religious,want,country,equality,celebrant,leader,section,appointed,protections,matter,right,uhlmann,sex,years,hurt,coalition,overseas,slope,time,entered,solomon,opt,worship,christianity,compromise,child,pulpit,amendment,voted,think,electric,nondiscrimination,anglican,debate,opinions,despite,electorate,orders,belief,claims,australia,conduct,flag,survey
7,like,sex,community,campaign,support,community,act,think,knows,remove,subsection,government,act,appointment,won,parties,women,struck,territories,community,migrant,contacted,sex,slippery,community,insert,prayer,religious,practice,protections,ministers,families,prolong,addressed,religious,state,hold,australian,australia,indulgence,opinion,bells,member,wednesday,18,resident,day,broadcasters,conscience,electorates
8,campaign,speech,lesbian,million,opportunity,gippsland,assessment,mob,vote,marry,insert,support,paragraph,overseas,comments,national,legislation,rose,overseas,today,laws,labor,country,commitment,sorry,message,god,categories,freedom,organisations,refuse,family,establishing,omitted,australian,definition,department,relation,inner,madam,status,ignorance,constituents,accommodation,declaration,applicable,yes,vilification,member,pastor
9,thank,conscientious,couples,sex,member,parliament,amendments,little,laws,85,solemnise,years,beliefs,chaplains,legislation,plebiscite,debates,raised,adoptions,men,amendment,cowan,fundamental,defend,hurt,exclusion,years,registered,teaching,state,solemnise,man,protections,second,australians,recognised,play,remained,like,statements,representative,sing,personal,silly,religion,sex,parliament,apply,read,business
10,finally,beliefs,amendment,referendum,australia,different,confirmed,said,party,view,religious,opposition,vaa,personnel,risk,room,australia,support,commonwealth,person,communities,say,valid,view,families,subsection,life,civil,doesn,federation,committee,woman,116,immediate,change,view,flowers,late,really,30,longing,lies,email,minutes,treaties,gay,let,community,object,community
11,proud,protect,reform,200,legislate,change,dgr,country,let,matter,authorised,debate,purposes,serving,delay,vote,contentious,unions,territory,life,victory,policy,understanding,freedom,debate,section,stance,website,lawful,orthodox,civil,union,religious,words,respect,family,religious,case,behalf,return,course,ring,private,clerk,civil,exception,filled,additional,opposition,centre
12,years,yes,loving,labor,place,current,organisations,know,chance,ending,11,free,authority,objection,canning,turnbull,mildred,suggestion,policy,marriages,ethnic,promises,marriages,participated,week,thousands,story,decide,senate,bishop,protection,love,imposing,inevitably,majority,ought,liberty,changed,references,defer,street,years,support,hopefully,tribunal,discriminated,cousin,australian,able,shelton
13,bendigo,amendments,lesbians,democracy,joy,sex,unlikely,told,parliament,pieces,traditional,conference,contravention,conscientious,time,just,crime,love,relation,say,surely,greens,reiterated,couples,courage,lesbian,number,window,house,england,exemptions,mother,prohibiting,cunningham,freedoms,court,say,accordingly,make,deputy,expansion,short,contacted,standing,law,couples,45th,fix,barker,wales
14,time,views,honourable,opposition,human,act,advice,really,right,2012,refusal,vote,body,forces,schools,members,states,foy,child,want,just,vote,laws,debate,process,society,internal,lists,adverse,agencies,opposes,sex,observance,suggests,protections,concerned,home,gladys,cathy,question,speech,violence,throsby,hours,basis,gender,equality,statistics,raised,south
15,survey,australians,spouse,way,make,electorate,unnecessary,lot,stand,removed,17,coalition,conduct,senate,unamended,member,dealt,sides,australia,like,australians,promise,law,parliament,love,life,conflict,final,contributor,employment,labor,traditional,strongest,view,sex,domestic,don,preference,cities,start,parliament,hate,alp,sure,universal,inequality,delivering,law,checked,personal
16,hard,believe,heterosexual,question,thank,issues,advancing,dressed,parties,relationship,lines,conscience,insert,officers,rejected,leader,richard,homophobic,provision,year,supported,party,couples,discrimination,campaign,gay,tell,celebrant,amendments,catholic,existing,father,australian,original,result,law,happens,society,towns,speaker,tradition,kennedy,number,reach,nations,abominable,nation,opportunity,tabling,national
17,electorate,voted,gay,parliament,country,changes,fringe,single,situation,commonwealth,section,process,organisations,armed,today,political,aboriginal,children,adopt,great,colour,ha,countries,denial,way,law,catholic,sex,introduce,religion,marriages,natural,section,inquiry,participation,recognition,castle,changes,country,gallery,member,big,relationships,motion,beliefs,manipulate,law,notwithstanding,schools,case
18,really,definition,area,change,work,support,advocacy,book,mps,submission,exemptions,important,meaning,select,member,elected,think,okay,federal,recognition,long,2010,1961,right,place,coalition,skin,religion,consequences,maronite,officers,legal,test,proceedings,western,justice,want,debate,bring,speech,corner,fear,relationship,debate,hauled,special,diverse,legislation,amendments,stories
19,know,honour,member,lgbti,like,vote,reason,bit,bills,family,religion,senator,based,improve,say,government,white,alice,couple,issue,thank,stand,australia,argument,discrimination,government,wife,separate,derogate,christians,laws,relationship,trust,position,process,community,freedom,1966,parkes,second,judgement,time,matter,night,fundamental,partners,gift,measures,letter,consultations
