,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,equality,percent,children,plebiscite,equality,views,charities,going,love,sex,religious,election,entity,kate,amendments,church,women,list,freedom,gay
1,lgbtiq,survey,institution,australian,prime,issue,charity,think,let,couples,religion,labor,item,mother,senate,daughter,indigenous,celebrants,religion,lesbian
2,community,yes,society,debate,minister,view,charitable,don,equal,government,celebrants,party,belief,choice,amendment,wisdom,change,90,conscience,community
3,yes,postal,woman,issue,parliament,sex,commissioner,got,equality,discrimination,amendment,position,page,deep,member,god,changed,perform,rights,relationships
4,survey,voted,man,australians,party,think,status,want,laws,adoption,freedoms,definition,officer,liz,house,fisher,equality,ceremonies,belief,homosexual
5,long,electorate,union,vote,liberal,debate,tax,really,parliament,superannuation,refuse,change,schedule,family,debate,faith,married,category,international,government
6,want,religious,parents,government,matter,community,religious,know,fair,facto,ministers,opposition,insert,uhlmann,won,coroner,debate,opt,beliefs,minister
7,thank,vote,relationship,lgbti,member,parliament,act,church,right,relationships,solemnise,coalition,subsection,children,committee,privilege,years,civil,freedoms,homosexuals
8,time,australian,definition,million,australians,believe,amendments,young,marry,act,freedom,australian,omit,struck,time,solomon,society,religious,article,prime
9,australians,australians,social,campaign,parties,position,organisations,like,attracted,commonwealth,protection,vote,authorised,support,discrimination,prayer,law,categories,human,living
10,friends,freedoms,act,referendum,members,conscience,assessment,lot,time,labor,senate,said,substitute,raised,today,years,1975,registered,covenant,australians
11,campaign,protections,sex,parliament,government,personal,entity,said,young,legislation,protections,government,person,equality,legislation,catholic,ago,website,traditional,commitment
12,like,result,families,sex,law,electorate,confirmed,school,years,law,church,issue,section,rose,think,life,australian,celebrant,18,man
13,proud,respect,biological,question,turnbull,matter,dgr,regional,proud,states,laws,disdain,relevant,sex,don,teachings,changes,decide,conscientious,australian
14,lgbti,sex,family,200,leader,member,funding,say,day,amendment,antidiscrimination,leader,chaplain,love,delay,story,laws,final,protect,marriages
15,young,process,law,opposition,plebiscite,change,relevant,talk,person,relation,state,promise,line,unions,want,stance,case,sex,religious,australia
16,years,majority,legislation,democracy,vote,different,advancing,saying,vote,relationship,exemptions,policy,paragraph,father,second,number,preference,window,speech,men
17,love,views,child,community,national,act,advice,thing,despite,remove,compromise,clear,act,suggestion,let,tell,institution,lists,sex,issue
18,families,change,entered,way,country,support,services,country,country,attorney,discrimination,say,conscientious,sides,moved,skin,1967,religion,law,life
19,acknowledge,faith,traditional,harm,political,members,unlikely,australia,discrimination,rights,faith,debate,celebrant,constituents,seek,internal,nondiscrimination,separate,amendment,say
