,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,lgbtiq,percent,children,plebiscite,equality,views,charities,going,love,sex,amendments,election,entity,officer,freedom,church,women,celebrants,kate,opposition,gay
1,equality,survey,institution,australian,prime,issue,charity,think,let,couples,senate,labor,item,defence,religion,faith,indigenous,religious,mother,pm,lesbian
2,community,yes,society,debate,minister,view,charitable,don,equal,discrimination,amendment,party,belief,force,religious,god,change,list,choice,second,community
3,yes,postal,woman,issue,parliament,sex,commissioner,got,equality,government,discrimination,definition,page,cdf,conscience,religious,changed,perform,deep,question,relationships
4,survey,electorate,man,australians,party,think,status,want,parliament,adoption,won,position,schedule,authorised,rights,daughter,equality,90,liz,debate,government
5,want,voted,union,vote,liberal,community,religious,really,fair,superannuation,member,change,subsection,chaplain,belief,fisher,married,category,family,15,homosexual
6,long,religious,parents,government,matter,debate,tax,know,laws,facto,committee,coalition,omit,appointed,freedoms,wisdom,years,civil,uhlmann,leader,minister
7,thank,vote,relationship,lgbti,member,believe,act,young,right,act,debate,australian,relevant,appointment,beliefs,catholic,debate,religion,children,read,homosexuals
8,australians,australian,definition,million,australians,parliament,amendments,like,marry,relationships,think,said,section,overseas,international,protections,society,solemnise,struck,member,prime
9,time,australians,sex,campaign,parties,position,assessment,school,attracted,labor,house,vote,insert,chaplains,traditional,years,1975,amendment,support,house,living
10,friends,freedoms,social,parliament,law,conscience,organisations,lot,young,commonwealth,protections,disdain,person,senate,protections,privilege,law,celebrant,raised,agreed,australians
11,campaign,result,act,referendum,members,personal,confirmed,said,time,legislation,delay,government,substitute,officers,protect,prayer,australian,ministers,rose,amendment,commitment
12,lgbti,protections,families,sex,turnbull,electorate,dgr,say,years,law,don,issue,act,serving,article,coroner,ago,ceremonies,sex,submitted,australian
13,proud,respect,biological,opposition,rights,matter,funding,regional,day,amendment,want,promise,paragraph,personnel,human,life,changes,freedoms,love,leave,issue
14,like,sex,family,200,country,change,advice,talk,person,states,greens,say,line,conscientious,amendment,teachings,case,opt,equality,reading,australia
15,years,process,law,democracy,australia,different,amendment,saying,proud,relation,say,policy,organisations,forces,protection,christian,preference,refuse,father,afternoon,marriages
16,families,majority,legislation,question,plebiscite,member,law,country,vote,remove,today,clear,body,armed,conscientious,state,laws,decide,unions,speaker,man
17,love,views,entered,community,government,act,unnecessary,electorate,despite,relationship,legislation,greens,holds,objection,18,solomon,institution,categories,suggestion,speeches,men
18,young,change,child,way,vote,support,advancing,thing,won,attorney,time,2010,purposes,select,law,run,nondiscrimination,registered,constituents,gallery,life
19,finally,participation,traditional,change,national,members,unlikely,come,hope,heterosexual,celebrants,opposition,religious,military,covenant,speech,1967,principle,sides,mpi,say
