,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,equality,freedom,children,plebiscite,equality,amendments,charities,going,love,sex,religious,election,entity,survey,rights,church,women,kate,list,gay,views,officer
1,lgbtiq,faith,institution,australian,prime,senate,charity,think,let,couples,celebrants,labor,item,percent,international,daughter,indigenous,mother,90,lesbian,issue,defence
2,community,religious,society,debate,minister,amendment,charitable,don,equal,government,amendment,party,belief,yes,article,wisdom,change,choice,perform,community,view,force
3,yes,freedoms,woman,issue,parliament,member,commissioner,got,equality,discrimination,religion,position,page,electorate,human,fisher,changed,deep,celebrants,relationships,think,authorised
4,survey,religion,man,australians,party,house,status,want,laws,adoption,senate,definition,schedule,postal,freedom,god,married,liz,ceremonies,homosexual,sex,cdf
5,want,protections,union,vote,liberal,debate,tax,really,fair,superannuation,ministers,change,subsection,voted,belief,coroner,years,family,category,government,parliament,chaplain
6,long,conscience,parents,government,matter,won,religious,know,right,facto,refuse,opposition,omit,vote,covenant,privilege,society,uhlmann,opt,homosexuals,debate,appointed
7,australians,traditional,relationship,lgbti,member,discrimination,act,church,parliament,relationships,solemnise,coalition,relevant,australian,18,solomon,debate,children,religious,minister,community,appointment
8,time,speech,definition,million,parties,time,amendments,young,attracted,act,freedoms,australian,insert,religious,religion,prayer,equality,struck,civil,prime,believe,overseas
9,thank,australians,social,campaign,australians,think,assessment,like,marry,commonwealth,compromise,vote,person,result,declaration,years,1975,equality,categories,living,position,chaplains
10,friends,sex,sex,referendum,members,today,confirmed,lot,years,labor,antidiscrimination,said,section,respect,treaties,life,ago,support,registered,commitment,conscience,senate
11,campaign,protect,act,parliament,government,legislation,organisations,said,young,legislation,protection,government,substitute,australians,beliefs,catholic,institution,raised,website,australians,personal,serving
12,like,beliefs,families,sex,plebiscite,delay,dgr,regional,time,law,exemptions,issue,act,process,civil,number,law,rose,decide,marriages,matter,personnel
13,proud,christian,biological,question,turnbull,second,advice,school,proud,states,civil,disdain,paragraph,majority,law,stance,commonwealth,sex,celebrant,australian,electorate,conscientious
14,love,amendments,family,200,leader,don,funding,say,day,relation,committee,policy,line,freedoms,conscience,story,preference,love,final,issue,member,forces
15,young,views,law,opposition,vote,let,advancing,talk,person,amendment,laws,say,holds,protections,basis,internal,changes,unions,sex,man,change,officers
16,lgbti,conscientious,legislation,democracy,law,committee,services,saying,discrimination,relationship,want,leader,organisations,sex,tribunal,skin,australian,father,window,men,different,armed
17,years,yes,child,community,national,kennedy,unlikely,australia,country,remove,discrimination,clear,faith,change,universal,tell,case,suggestion,lists,australia,act,objection
18,families,voted,entered,way,country,reading,entity,thing,vote,attorney,labor,promise,body,participation,nations,wife,laws,sides,religion,life,support,select
19,acknowledge,honour,traditional,harm,political,say,unnecessary,bishop,despite,intercountry,marriages,debate,purposes,views,hauled,teachings,nondiscrimination,constituents,separate,say,members,military
