,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,lgbtiq,freedom,children,plebiscite,equality,views,charities,going,love,sex,religious,labor,entity,officer,amendments,prime,church,kate,list,gay,percent,election,opposition,survey
1,equality,religion,institution,australian,law,issue,charity,think,let,couples,religion,party,item,defence,senate,minister,daughter,mother,celebrants,lesbian,yes,definition,pm,safeguards
2,community,conscience,society,issue,australians,view,charitable,don,equal,discrimination,celebrants,members,belief,force,won,parliament,wisdom,choice,perform,community,voted,position,second,process
3,yes,rights,woman,debate,rights,sex,commissioner,got,equality,government,amendment,member,page,cdf,amendment,liberal,fisher,deep,90,women,electorate,change,question,government
4,survey,belief,man,vote,australia,think,status,want,attracted,adoption,freedoms,leader,schedule,authorised,member,party,god,liz,ceremonies,australians,religious,said,15,provisions
5,want,international,union,australians,laws,debate,tax,really,parliament,superannuation,freedom,opposition,subsection,chaplain,discrimination,equality,coroner,family,category,commitment,vote,coalition,debate,postal
6,long,beliefs,parents,government,discrimination,parliament,religious,know,fair,facto,refuse,australian,omit,appointed,house,matter,privilege,uhlmann,opt,years,survey,disdain,read,australian
7,time,article,relationship,lgbti,parliament,community,act,church,laws,relationships,ministers,families,relevant,appointment,committee,parties,solomon,struck,civil,homosexual,freedoms,policy,agreed,community
8,thank,human,social,million,support,believe,amendments,young,right,act,solemnise,support,insert,overseas,think,government,years,children,religious,homosexuals,postal,say,amendment,australians
9,love,covenant,definition,campaign,right,personal,assessment,like,despite,commonwealth,protection,conscience,person,chaplains,debate,national,prayer,rose,categories,men,australian,labor,leader,debate
10,campaign,18,act,referendum,equal,conscience,confirmed,lot,country,legislation,protections,years,section,senate,delay,member,catholic,raised,registered,australian,australians,cowan,reading,conduct
11,friends,freedoms,families,parliament,couples,electorate,organisations,regional,time,states,church,government,substitute,serving,celebrants,vote,faith,support,celebrant,australia,protections,vote,submitted,opportunity
12,australians,traditional,family,sex,reality,position,dgr,said,person,amendment,senate,conference,act,personnel,today,leader,life,love,website,life,sex,contacted,afternoon,law
13,proud,conscientious,sex,democracy,time,change,funding,school,years,relationship,faith,important,paragraph,officers,legislation,turnbull,teachings,unions,decide,indigenous,respect,greens,leave,measures
14,young,protect,biological,200,human,different,entity,say,day,law,laws,vote,line,conscientious,greens,members,stance,suggestion,sex,society,result,issue,speaker,vilification
15,like,law,legislation,opposition,acknowledge,member,advice,talk,knows,heterosexual,antidiscrimination,debate,holds,forces,don,just,story,father,final,marriages,freedom,stand,house,broadcasters
16,finally,declaration,law,question,country,matter,advancing,australia,reform,relation,state,free,organisations,objection,want,plebiscite,skin,sides,window,ago,faith,party,mpi,apply
17,years,fundamental,entered,way,married,act,services,country,marry,remove,discrimination,coalition,body,select,say,political,number,foy,lists,today,views,promises,offer,relation
18,lgbti,amendment,child,nation,opportunity,members,unlikely,saying,won,intercountry,compromise,process,faith,armed,time,room,internal,okay,separate,change,majority,know,substituting,additional
19,vote,speech,traditional,change,regardless,support,unnecessary,thing,young,attorney,exemptions,liberal,based,military,let,house,wife,constituents,line,like,change,2010,immediate,legislation
