,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,equality,freedom,children,plebiscite,equality,views,charities,going,love,discrimination,list,labor,entity,officer,international,survey,daughter,kate,adoption,gay,election,pm,amendments,religious,percent
1,lgbtiq,religious,institution,australian,prime,issue,charity,don,let,sex,perform,party,item,defence,rights,process,church,mother,government,relationships,definition,opposition,senate,celebrants,yes
2,community,faith,society,issue,minister,view,charitable,think,equal,couples,celebrants,leader,belief,force,article,safeguards,wisdom,choice,couples,lesbian,position,second,won,amendment,electorate
3,yes,freedoms,man,debate,parliament,think,commissioner,got,fair,remove,90,opposition,page,authorised,freedom,postal,fisher,deep,sex,superannuation,change,question,discrimination,religion,survey
4,want,religion,woman,vote,australians,community,status,want,laws,act,ceremonies,member,schedule,cdf,human,government,god,liz,act,facto,said,15,member,senate,voted
5,australians,protections,union,australians,matter,debate,tax,church,person,equality,category,members,subsection,chaplain,belief,community,coroner,family,overseas,community,coalition,debate,amendment,ministers,vote
6,long,conscience,parents,million,liberal,sex,religious,really,years,rights,opt,government,relevant,appointed,covenant,australian,years,uhlmann,states,government,disdain,amendment,think,refuse,religious
7,time,traditional,relationship,lgbti,parties,position,act,know,parliament,85,religious,families,omit,appointment,18,debate,privilege,struck,intercountry,minister,say,read,house,solemnise,postal
8,thank,speech,social,government,party,parliament,amendments,young,despite,marry,civil,australian,insert,overseas,religion,australians,solomon,children,attorney,prime,cowan,submitted,debate,freedoms,respect
9,survey,australians,biological,campaign,member,believe,assessment,like,attracted,commonwealth,categories,support,person,chaplains,declaration,provisions,prayer,support,australia,discrimination,vote,agreed,delay,compromise,result
10,friends,protect,family,referendum,country,personal,confirmed,lot,marry,labor,registered,liberal,section,serving,treaties,conduct,life,raised,law,relationship,policy,afternoon,time,protection,australian
11,love,sex,families,parliament,law,conscience,dgr,regional,gay,view,website,prime,substitute,personnel,beliefs,vilification,catholic,rose,territories,couples,labor,reading,committee,antidiscrimination,sex
12,campaign,beliefs,legislation,sex,plebiscite,different,organisations,said,day,removed,decide,vote,act,conscientious,civil,important,number,unions,provisions,loving,contacted,house,legislation,exemptions,freedoms
13,like,amendments,traditional,200,australia,electorate,advice,bishop,time,throsby,celebrant,conscience,paragraph,senate,conscience,opportunity,stance,suggestion,definition,partner,greens,speaker,don,committee,majority
14,proud,christian,definition,democracy,turnbull,change,funding,school,right,member,sex,debate,line,forces,law,lgbti,skin,father,countries,heterosexual,promises,leader,let,freedom,australians
15,young,views,child,opposition,vote,matter,advancing,australia,country,relationship,final,minister,holds,armed,basis,broadcasters,story,sides,commonwealth,legislation,promise,member,today,want,protections
16,years,conscientious,sex,question,right,member,unlikely,say,won,institution,window,free,organisations,officers,tribunal,additional,internal,love,country,sex,stand,mpi,say,marriages,participation
17,lgbti,honour,law,change,equal,members,services,country,young,commitment,lists,years,faith,objection,universal,legislation,wife,constituents,laws,family,party,leave,greens,beliefs,views
18,finally,express,act,way,members,support,unnecessary,wangaratta,lies,pieces,religion,issue,body,select,nations,apply,teachings,foy,institution,homosexual,clear,gallery,equality,relation,western
19,acknowledge,voted,exclusion,nation,support,current,entity,talk,hope,relation,separate,coalition,based,military,fundamental,statistics,tell,okay,measures,living,2010,indulgence,comments,laws,national
