,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,lgbtiq,freedom,children,plebiscite,equality,views,charities,going,love,discrimination,celebrants,labor,entity,officer,amendments,religious,women,kate,adoption,gay,election,pm,act,survey,percent,regional,daughter
1,equality,conscience,institution,australian,prime,issue,charity,think,let,sex,list,party,item,defence,senate,religion,indigenous,mother,government,lesbian,definition,opposition,entered,safeguards,yes,wangaratta,wisdom
2,yes,rights,society,debate,minister,view,charitable,don,equal,couples,perform,leader,belief,force,amendment,faith,change,choice,superannuation,community,position,second,definition,process,voted,bishop,church
3,community,religion,man,issue,parliament,think,commissioner,got,fair,facto,90,opposition,page,cdf,won,freedom,changed,deep,couples,government,change,question,government,government,electorate,rural,fisher
4,want,belief,woman,vote,australians,debate,status,want,attracted,relationships,religious,members,schedule,authorised,discrimination,protections,married,liz,sex,homosexual,coalition,15,law,postal,vote,indi,coroner
5,survey,international,parents,australians,matter,community,tax,church,parliament,relationship,category,member,subsection,chaplain,committee,church,years,family,intercountry,relationships,said,debate,institution,community,survey,australia,privilege
6,long,article,union,government,liberal,position,religious,know,despite,remove,ceremonies,prime,omit,appointed,celebrants,freedoms,debate,uhlmann,attorney,minister,disdain,submitted,sex,provisions,postal,harry,solomon
7,time,beliefs,relationship,million,parties,sex,act,really,person,rights,civil,government,relevant,appointment,member,amendment,society,struck,states,australians,policy,read,contained,conduct,australian,anglican,god
8,thank,human,social,campaign,law,believe,amendments,school,laws,act,opt,families,person,overseas,house,protection,equality,support,territories,homosexuals,cowan,amendment,overseas,debate,sex,inner,prayer
9,australians,covenant,family,lgbti,member,personal,assessment,lot,day,superannuation,celebrant,minister,insert,chaplains,greens,state,1975,rose,relation,prime,say,agreed,australia,lgbti,freedoms,behalf,years
10,friends,18,families,referendum,australia,parliament,confirmed,say,years,heterosexual,categories,liberal,substitute,senate,debate,refuse,ago,raised,relationships,man,greens,afternoon,country,australians,religious,like,life
11,campaign,freedoms,biological,parliament,turnbull,electorate,dgr,young,right,member,registered,australian,section,officers,want,laws,australian,children,child,living,contacted,reading,couples,australian,australians,god,number
12,love,conscientious,child,sex,country,conscience,organisations,run,time,labor,decide,support,paragraph,serving,delay,celebrants,changes,unions,commonwealth,marriages,vote,leader,1961,vilification,respect,community,story
13,young,traditional,relationships,200,party,different,entity,said,marry,legislation,website,conscience,act,personnel,think,ministers,law,suggestion,facto,australia,labor,house,laws,broadcasters,protections,make,stance
14,proud,law,traditional,democracy,vote,change,funding,thing,won,amendment,final,free,line,conscientious,equality,section,case,constituents,overseas,australian,promises,mpi,understanding,opportunity,result,really,catholic
15,like,fundamental,sex,opposition,rights,matter,advice,saying,country,85,sex,vote,holds,forces,today,protect,preference,father,policy,woman,2010,speaker,fundamental,additional,freedom,references,internal
16,years,declaration,legislation,question,plebiscite,support,advancing,like,young,family,solemnise,coalition,organisations,objection,protections,solemnise,nondiscrimination,sides,package,life,stand,indulgence,valid,apply,views,country,tell
17,finally,protect,mother,change,equal,member,unlikely,talk,knows,removed,window,parliament,body,armed,rejected,antidiscrimination,1967,love,provisions,men,promise,suspension,marriages,statistics,majority,bring,skin
18,hard,amendment,environment,way,right,members,unnecessary,little,lies,marry,lists,debate,celebrant,select,don,constitution,late,sex,adoptions,thousands,ha,madam,legislation,fix,change,electorates,wife
19,lgbti,civil,definition,nation,support,current,services,come,belongs,view,religion,issue,beliefs,military,create,schools,laws,foy,amendment,88e,clear,offer,reiterated,rights,voting,cities,conflict
