,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,lgbtiq,freedom,children,plebiscite,equality,views,charities,going,love,adoption,religious,labor,entity,percent,amendments,prime,women,kate,list,gay,pm,election,opposition,discrimination,church,regional,result,survey,officer
1,equality,rights,institution,australian,australians,issue,charity,don,let,government,religion,party,item,yes,senate,minister,indigenous,mother,celebrants,lesbian,15,definition,agreed,sex,daughter,wangaratta,groom,safeguards,defence
2,yes,religion,society,debate,law,view,charitable,think,equal,sex,celebrants,members,belief,voted,won,parliament,change,choice,perform,community,debate,change,read,facto,wisdom,bishop,survey,process,force
3,community,belief,man,issue,rights,think,commissioner,got,attracted,couples,amendment,member,page,freedom,amendment,liberal,changed,deep,90,homosexual,afternoon,position,question,couples,fisher,rural,toowoomba,postal,cdf
4,want,conscience,woman,vote,australia,sex,status,church,equality,act,freedom,families,schedule,religious,member,party,years,liz,ceremonies,government,submitted,coalition,leader,relationships,god,indi,electorate,government,authorised
5,survey,international,union,australians,parliament,parliament,tax,want,laws,overseas,freedoms,leader,subsection,australians,discrimination,equality,married,family,category,homosexuals,mpi,said,second,superannuation,coroner,australia,yes,provisions,chaplain
6,long,article,parents,government,support,debate,religious,know,fair,states,refuse,australian,relevant,vote,house,matter,society,uhlmann,opt,australians,90,disdain,amendment,relationship,privilege,harry,percent,community,appointed
7,time,human,relationship,lgbti,reality,believe,act,school,parliament,intercountry,ministers,government,omit,freedoms,debate,parties,debate,struck,religious,man,indulgence,policy,substituting,remove,solomon,anglican,queensland,australian,appointment
8,love,covenant,social,campaign,time,position,amendments,really,right,attorney,solemnise,support,insert,australian,committee,government,ago,rose,civil,australian,madam,greens,addressed,heterosexual,prayer,inner,inland,conduct,overseas
9,thank,beliefs,families,million,laws,community,assessment,lot,despite,australia,protection,opposition,person,protections,think,national,1975,children,categories,australia,statements,cowan,leave,legislation,years,behalf,personal,debate,chaplains
10,friends,18,family,referendum,acknowledge,conscience,confirmed,say,country,law,protections,conference,section,sex,delay,vote,australian,support,registered,marriages,30,say,omitted,rights,life,god,electorates,australians,senate
11,australians,declaration,biological,200,children,different,dgr,run,years,territories,senate,years,substitute,electorate,today,member,law,raised,website,issue,gallery,contacted,immediate,amendment,catholic,like,south,vilification,serving
12,campaign,conscientious,child,sex,equal,act,organisations,young,person,provisions,faith,conscience,act,postal,legislation,leader,changes,love,celebrant,living,speaker,labor,view,family,stance,faith,national,lgbti,personnel
13,proud,civil,legislation,democracy,couples,electorate,funding,said,day,definition,church,free,paragraph,faith,celebrants,members,1967,unions,decide,commitment,second,vote,cunningham,member,story,make,religious,broadcasters,conscientious
14,young,fundamental,definition,parliament,opportunity,change,advice,saying,knows,countries,laws,debate,line,survey,don,just,preference,suggestion,sex,relationships,return,promises,position,partner,number,country,community,additional,officers
15,finally,law,traditional,opposition,right,personal,services,thing,time,laws,antidiscrimination,issue,holds,respect,greens,turnbull,case,sides,final,life,suspension,2010,inquiry,loving,internal,really,pastor,opportunity,forces
16,like,held,relationships,labor,country,support,advancing,little,marry,country,compromise,important,organisations,views,time,political,laws,father,window,men,defer,stand,words,act,skin,references,wales,apply,objection
17,years,freedoms,sex,question,human,matter,unlikely,like,reform,commonwealth,state,vote,faith,change,want,room,nondiscrimination,constituents,lists,woman,deputy,promise,inevitably,commonwealth,tell,community,certainly,statistics,select
18,vote,treaties,law,way,member,way,entity,talk,lies,adoptions,section,family,body,majority,protections,plebiscite,late,foy,separate,transgender,question,issue,original,community,teachings,cities,business,fix,armed
19,day,tribunal,environment,change,lgbti,member,unnecessary,schools,won,institution,exemptions,coalition,based,traditional,let,house,did,okay,line,thousands,speech,ha,suggests,labor,conflict,towns,received,rights,military
