,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,lgbtiq,freedom,children,plebiscite,equality,views,charities,going,love,discrimination,list,labor,entity,percent,amendments,prime,women,kate,adoption,gay,pm,election,act,expression,man,groom,opposition,item,religious,officer,regional,church
1,community,religion,institution,australian,australians,issue,charity,don,let,facto,celebrants,party,belief,yes,senate,minister,indigenous,mother,government,lesbian,15,definition,definition,churches,woman,survey,agreed,page,religion,defence,wangaratta,daughter
2,equality,conscience,parents,debate,law,view,charitable,think,equal,sex,perform,member,relevant,survey,won,parliament,change,choice,intercountry,commitment,debate,change,institution,statement,union,result,read,schedule,amendment,force,bishop,wisdom
3,yes,rights,society,issue,rights,think,commissioner,got,equality,relationships,90,members,person,voted,amendment,liberal,changed,deep,couples,australians,afternoon,position,entered,sex,voluntarily,toowoomba,question,omit,celebrants,cdf,rural,fisher
4,survey,belief,social,vote,australia,sex,status,church,attracted,couples,ceremonies,families,faith,postal,member,party,married,liz,sex,community,submitted,disdain,government,relation,community,queensland,leader,substitute,freedoms,authorised,indi,god
5,want,international,families,government,parliament,believe,tax,want,fair,superannuation,category,leader,holds,australian,debate,equality,debate,family,states,homosexual,mpi,said,law,commitment,88e,inland,second,line,freedom,chaplain,australia,coroner
6,long,article,woman,lgbti,support,position,religious,know,laws,relationship,opt,australian,act,australians,discrimination,matter,society,uhlmann,attorney,years,90,coalition,contained,renewed,entered,yes,amendment,celebrant,protections,appointed,harry,privilege
7,time,beliefs,man,australians,acknowledge,debate,act,school,right,heterosexual,religious,support,section,vote,house,parties,years,struck,territories,homosexuals,indulgence,policy,sex,view,insert,community,substituting,subsection,refuse,appointment,anglican,solomon
8,thank,human,child,campaign,reality,personal,amendments,really,country,amendment,civil,government,subsection,electorate,committee,government,1975,rose,relation,course,madam,labor,overseas,slope,message,electorate,omitted,insert,faith,overseas,inner,prayer
9,love,covenant,biological,million,lgbti,parliament,assessment,lot,parliament,remove,registered,opposition,paragraph,religious,think,national,australian,support,superannuation,today,statements,greens,laws,slippery,subsection,electorates,immediate,solemnise,protection,chaplains,behalf,years
10,campaign,18,family,referendum,opportunity,electorate,confirmed,run,day,rights,categories,conscience,beliefs,freedoms,celebrants,member,case,raised,commonwealth,love,30,cowan,fundamental,defend,exclusion,personal,leave,authorised,ministers,senate,like,life
11,friends,freedoms,relationship,200,human,conscience,dgr,say,despite,act,website,conference,organisations,protections,delay,vote,changes,unions,overseas,marriages,gallery,say,understanding,freedom,section,business,addressed,11,church,serving,god,catholic
12,australians,conscientious,union,parliament,laws,change,organisations,young,knows,family,decide,free,purposes,sex,today,turnbull,preference,love,child,person,speaker,contacted,1961,parliament,lesbian,pastor,words,religious,senate,personnel,really,stance
13,proud,traditional,sex,democracy,time,different,advice,said,years,legislation,celebrant,years,authority,respect,legislation,political,ago,suggestion,policy,men,second,vote,valid,discrimination,thousands,centre,position,traditional,solemnise,officers,community,story
14,young,declaration,traditional,opposition,equal,act,unlikely,saying,reform,partner,final,important,based,freedom,greens,just,nondiscrimination,children,provisions,life,return,promises,country,couples,law,religious,view,17,state,conscientious,country,number
15,finally,fundamental,relationships,community,member,community,advancing,thing,time,loving,window,vote,vaa,change,want,leader,1967,constituents,adoptions,like,suspension,2010,australia,participated,government,national,cunningham,refusal,laws,objection,make,internal
16,like,protect,mother,sex,couples,support,unnecessary,like,won,government,sex,coalition,body,process,don,members,law,sides,territory,issue,defer,promise,marriages,legislation,life,south,original,lines,antidiscrimination,select,references,skin
17,years,law,legislation,labor,right,matter,services,little,person,labor,lists,sex,contravention,majority,time,room,late,foy,provision,said,speech,party,couples,member,society,percent,inevitably,celebrants,section,forces,cities,sex
18,vote,amendment,love,way,speak,current,funding,talk,lies,equal,separate,debate,insert,faith,rejected,debate,commonwealth,okay,law,say,question,ha,reiterated,right,gay,certainly,inquiry,exemptions,compromise,armed,towns,tell
19,day,held,father,question,legislate,members,reason,schools,proud,community,religion,senator,conduct,views,comments,house,did,father,australian,recognition,deputy,clear,legislation,denial,discriminate,wales,suggests,religion,beliefs,military,bring,teachings
