,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,lgbtiq,freedom,children,plebiscite,equality,views,charities,think,love,relationships,item,labor,entity,percent,amendments,prime,women,kate,adoption,gay,pm,election,act,discrimination,religious,regional,daughter,list,church,officer,faith,survey,opposition,international,man,nation
1,community,freedoms,institution,issue,australians,issue,charity,got,let,facto,page,party,belief,yes,senate,minister,indigenous,mother,government,lesbian,15,definition,definition,sex,celebrants,wangaratta,wisdom,perform,facilities,defence,god,safeguards,agreed,rights,woman,australian
2,equality,conscience,parents,vote,law,view,charitable,don,equal,superannuation,schedule,member,relevant,electorate,won,parliament,change,choice,couples,commitment,debate,position,institution,couples,amendment,bishop,fisher,celebrants,business,force,religious,process,read,article,union,change
3,yes,religious,society,debate,australia,think,commissioner,going,equality,relationship,omit,members,person,survey,discrimination,liberal,changed,liz,intercountry,community,afternoon,change,entered,view,religion,rural,church,90,going,cdf,church,government,question,human,voluntarily,australians
4,want,religion,social,lgbti,time,sex,status,really,attracted,discrimination,substitute,australian,holds,voted,member,equality,married,deep,sex,homosexual,submitted,disdain,contained,remove,senate,indi,coroner,ceremonies,run,authorised,christian,postal,leader,freedom,entered,calare
5,survey,traditional,biological,government,acknowledge,personal,tax,school,laws,government,line,families,act,vote,debate,party,society,family,states,homosexuals,mpi,said,government,act,ministers,harry,privilege,category,churches,chaplain,protections,community,second,covenant,community,respect
6,long,protections,woman,million,parliament,debate,religious,want,despite,partner,celebrant,leader,section,religious,amendment,matter,years,uhlmann,attorney,australians,90,coalition,sex,throsby,refuse,australia,solomon,opt,hold,appointed,based,provisions,amendment,belief,88e,debate
7,love,speech,man,campaign,support,position,act,young,right,legislation,subsection,government,subsection,postal,house,parties,1975,struck,territories,years,indulgence,labor,overseas,85,freedoms,anglican,prayer,religious,religious,appointment,organisations,conduct,substituting,18,insert,process
8,thank,sex,child,australian,reality,community,assessment,know,years,loving,insert,support,paragraph,result,think,vote,debate,rose,relation,marriages,madam,say,fundamental,rights,solemnise,inner,years,civil,department,overseas,religion,lgbti,leave,declaration,exclusion,maranoa
9,campaign,australians,family,australians,rights,believe,amendments,lot,fair,community,solemnise,opposition,beliefs,sex,delay,national,preference,support,overseas,course,statements,policy,valid,member,protection,behalf,god,categories,flowers,chaplains,state,australians,omitted,religion,message,great
10,friends,conscientious,sex,referendum,equal,electorate,confirmed,said,knows,heterosexual,authorised,conference,vaa,respect,committee,members,nondiscrimination,raised,superannuation,couples,30,cowan,laws,expression,antidiscrimination,like,life,registered,electric,personnel,federation,vilification,immediate,treaties,section,believe
11,time,protect,families,sex,opportunity,conscience,dgr,parliament,country,sex,religious,free,purposes,protections,kennedy,room,equality,unions,commonwealth,sex,gallery,vote,understanding,removed,compromise,make,story,website,liberty,serving,orthodox,broadcasters,addressed,civil,subsection,make
12,finally,beliefs,union,200,member,parliament,organisations,thing,reform,family,11,years,authority,freedoms,time,just,late,suggestion,child,love,second,contacted,law,churches,freedom,really,number,decide,event,senate,christianity,additional,position,basis,thousands,society
13,proud,amendments,relationship,opposition,joy,different,unlikely,say,parliament,acceptable,traditional,conscience,contravention,majority,today,political,case,love,adoptions,men,speaker,greens,1961,parliament,committee,references,stance,window,play,conscientious,bishop,apply,words,beliefs,lesbian,law
14,years,views,mother,community,lgbti,members,advice,like,won,longterm,17,vote,body,australian,legislation,member,ago,constituents,policy,like,return,promises,marriages,relation,relation,cities,internal,celebrant,home,officers,agencies,debate,view,tribunal,law,live
15,young,yes,traditional,labor,place,support,advancing,talk,time,couples,lines,important,conduct,western,comments,turnbull,australian,foy,territory,issue,suspension,promise,country,commitment,want,towns,catholic,lists,castle,objection,catholic,opportunity,cunningham,law,society,important
16,australians,voted,love,parliament,country,received,unnecessary,time,lies,lesbians,refusal,debate,insert,participation,greens,leader,1967,sides,australia,today,defer,clear,reiterated,matter,minister,community,skin,final,education,select,employment,fix,inevitably,universal,life,way
17,like,house,father,democracy,legislate,current,reason,came,bells,amendment,exemptions,coalition,organisations,australians,protections,government,remained,children,issue,person,deputy,2010,couples,pieces,laws,cathy,conflict,sex,happens,forces,england,statistics,original,conscience,coalition,lives
18,discrimination,believe,purpose,money,speak,matter,fringe,country,person,law,religion,percent,meaning,views,don,debate,changes,okay,provision,recognition,speech,ha,australia,marry,opposes,bring,tell,religion,don,armed,maronite,relation,inquiry,nations,government,fair
19,day,belief,natural,funding,laws,change,advocacy,dress,ready,spouse,section,process,based,said,let,end,1902,homophobic,provisions,said,orders,party,countries,statement,civil,country,wife,separate,want,improve,christians,notwithstanding,suggests,hauled,discriminate,best
