,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,lgbtiq,freedom,children,plebiscite,equality,issue,charities,going,love,superannuation,item,labor,entity,percent,amendments,prime,women,kate,list,gay,leave,election,commonwealth,discrimination,survey,adoption,opposition,daughter,officer,pm,religious,regional,homosexuals,faith,international,sex,nation
1,community,freedoms,institution,vote,australians,think,charity,don,let,facto,schedule,party,belief,yes,senate,minister,indigenous,mother,perform,lesbian,house,definition,legislation,sex,safeguards,government,agreed,wisdom,defence,15,celebrants,wangaratta,homosexual,church,rights,views,australian
2,yes,conscience,parents,issue,law,view,charitable,got,equal,relationships,page,members,relevant,electorate,won,parliament,change,choice,90,community,member,change,relation,couples,process,couples,question,fisher,force,afternoon,amendment,bishop,marital,religious,article,received,change
3,equality,religion,society,australian,australia,views,commissioner,think,equality,government,omit,member,person,survey,discrimination,equality,changed,liz,celebrants,man,granted,position,relationships,remove,government,sex,amendment,church,cdf,submitted,senate,rural,self,god,human,commitment,australians
4,want,religious,man,debate,time,position,status,want,attracted,discrimination,substitute,leader,holds,voted,debate,liberal,married,deep,ceremonies,woman,gallery,disdain,law,act,postal,act,second,coroner,authorised,debate,religion,indi,editorial,christian,freedom,relationships,calare
5,survey,traditional,woman,campaign,parliament,debate,tax,church,laws,sex,line,australian,act,vote,think,party,years,family,category,88e,tabled,coalition,institution,rights,community,overseas,read,privilege,chaplain,mpi,ministers,harry,social,protections,covenant,letters,law
6,long,sex,union,million,acknowledge,parliament,religious,school,years,partner,insert,families,section,religious,committee,matter,society,uhlmann,opt,australia,behalf,said,relationship,85,provisions,states,substituting,solomon,appointed,90,refuse,australia,gay,state,belief,personal,maranoa
7,love,protections,biological,lgbti,reality,community,act,know,despite,relationship,subsection,government,subsection,postal,time,parties,ago,struck,religious,government,flag,contacted,think,view,lgbti,intercountry,leader,prayer,appointment,indulgence,solemnise,anglican,sex,organisations,18,recognition,lives
8,thank,speech,social,government,support,different,assessment,young,right,community,celebrant,opposition,paragraph,result,protections,national,debate,rose,categories,thousands,make,policy,society,marry,conduct,attorney,omitted,years,overseas,madam,freedoms,inner,claims,orthodox,declaration,constituents,great
9,campaign,conscientious,family,sex,rights,believe,amendments,really,time,heterosexual,solemnise,support,beliefs,respect,delay,vote,1975,raised,registered,australians,vote,cowan,view,throsby,vilification,australia,immediate,life,chaplains,statements,compromise,like,resident,based,religion,member,respect
10,friends,beliefs,child,australians,member,gippsland,confirmed,lot,knows,loving,authorised,conference,vaa,australian,comments,room,1967,support,civil,living,conscience,greens,constitution,member,australians,territories,words,god,serving,30,antidiscrimination,really,applicable,religion,treaties,relationship,make
11,time,australians,families,referendum,equal,vote,dgr,run,fair,couples,religious,years,purposes,freedoms,member,members,nondiscrimination,children,website,insert,noise,labor,woman,pieces,broadcasters,provisions,original,stance,personnel,second,protection,behalf,exception,catholic,basis,electorate,process
12,years,protect,relationship,200,opportunity,current,organisations,say,reform,family,11,debate,authority,majority,kennedy,political,changes,unions,decide,message,today,say,matter,ending,additional,definition,cunningham,story,conscientious,return,committee,references,couples,schools,civil,emails,live
13,finally,amendments,traditional,opposition,joy,issues,unlikely,little,person,amendment,traditional,free,contravention,sex,legislation,turnbull,laws,suggestion,window,life,opposition,promises,court,labor,apply,countries,honourable,number,senate,speaker,civil,make,discriminated,federation,tribunal,support,believe
14,proud,views,environment,democracy,right,conscience,advice,thing,parliament,lesbians,section,process,body,australians,let,just,1902,love,lists,transgender,members,vote,man,churches,debate,laws,addressed,internal,forces,suspension,amendments,cities,gender,bishop,law,private,debate
15,young,house,act,labor,place,electorate,advancing,saying,marry,lesbian,lines,vote,insert,protections,greens,plebiscite,preference,foy,final,marriages,read,promise,definition,expression,opportunity,country,inevitably,catholic,objection,defer,want,towns,inequality,christianity,beliefs,email,society
16,like,yes,sex,parliament,legislate,way,unnecessary,said,lies,longterm,17,coalition,conduct,western,supporting,member,remained,sides,celebrant,come,amendments,2010,fide,removed,fix,institution,suggests,skin,armed,deputy,beliefs,cathy,heterosexual,england,universal,percent,important
17,lgbti,belief,mother,question,make,personal,reason,like,country,gay,refusal,important,organisations,participation,risk,leader,sexual,okay,sex,sexuality,able,ha,constitutional,amended,statistics,entered,inquiry,conflict,officers,question,minister,bring,abominable,run,nations,matter,moment
18,hard,express,father,funding,speak,change,fringe,facilities,won,honourable,religion,conscience,based,said,exactly,debate,equality,father,religion,union,mr,stand,removed,respect,notwithstanding,law,proceedings,tell,select,start,exemptions,country,manipulate,agencies,hauled,throsby,australia
19,discrimination,believe,life,money,country,act,advocacy,told,vote,spouse,exemptions,percent,meaning,61,hatred,government,did,homophobic,separate,discriminatory,letter,party,state,statement,relation,marriages,position,wife,improve,speech,marriages,parkes,said,maronite,conscience,state,best
