,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,lgbtiq,freedom,children,plebiscite,equality,issue,charities,going,love,discrimination,list,labor,entity,percent,amendments,prime,faith,kate,adoption,gay,man,election,act,expression,views,institution,pm,daughter,superannuation,religious,officer,regional,survey,opposition,nation,wangaratta,women,leave
1,community,rights,parents,australian,australians,think,charity,don,let,sex,perform,party,belief,yes,senate,minister,church,mother,government,lesbian,woman,definition,definition,churches,received,relationships,15,wisdom,relationships,celebrants,defence,rural,safeguards,agreed,change,bishop,indigenous,granted
2,yes,religion,institution,vote,law,view,charitable,got,equal,couples,90,member,item,voted,won,parliament,religious,choice,intercountry,homosexual,union,change,entered,statement,sex,relationship,afternoon,fisher,facto,amendment,authorised,inner,process,question,australians,indi,change,house
3,equality,belief,society,issue,australia,position,commissioner,think,equality,act,celebrants,leader,page,vote,debate,equality,protections,liz,couples,homosexuals,voluntarily,position,government,sex,personal,society,submitted,church,government,religion,cdf,references,government,amendment,australian,harry,changed,tabled
4,survey,conscience,biological,debate,parliament,views,status,want,attracted,rights,ceremonies,members,schedule,religious,discrimination,liberal,god,deep,attorney,community,entered,disdain,institution,renewed,electorate,legislation,debate,coroner,discrimination,ministers,force,cities,postal,second,lives,anglican,married,member
5,want,international,social,government,time,debate,tax,church,fair,labor,category,families,relevant,electorate,protections,party,christian,family,states,commitment,community,said,contained,commitment,member,state,mpi,privilege,sex,senate,chaplain,voted,provisions,read,debate,rural,years,gallery
6,thank,article,child,campaign,acknowledge,parliament,religious,school,laws,marry,opt,australian,omit,survey,think,matter,religion,uhlmann,sex,years,88e,coalition,sex,relation,percent,commonwealth,90,solomon,partner,solemnise,appointed,towns,community,leader,process,gender,debate,behalf
7,long,beliefs,families,lgbti,reality,community,act,know,despite,remove,categories,government,person,postal,member,parties,state,struck,territories,australians,insert,contacted,overseas,slope,constituents,facto,indulgence,prayer,community,refuse,appointment,australia,conduct,substituting,great,behalf,society,flag
8,campaign,human,family,million,rights,believe,assessment,young,right,85,registered,opposition,subsection,freedoms,committee,vote,freedom,rose,commonwealth,marriages,exclusion,policy,fundamental,slippery,emails,view,madam,years,loving,freedoms,overseas,electorates,lgbti,omitted,moment,community,1975,conscience
9,love,covenant,sex,australians,support,gippsland,amendments,really,years,ending,religious,support,substitute,australian,legislation,national,based,support,relation,men,message,cowan,valid,freedom,throsby,recognised,statements,life,couples,compromise,chaplains,utterly,vilification,immediate,make,cathy,1967,vote
10,friends,18,man,referendum,member,current,confirmed,lot,parliament,equality,civil,conference,insert,australians,delay,room,organisations,raised,overseas,couples,subsection,labor,laws,defend,letters,think,30,god,amendment,freedom,serving,totally,broadcasters,words,believe,parkes,ago,opposition
11,time,freedoms,woman,sex,opportunity,different,dgr,run,knows,matter,website,conscience,section,sex,amendment,members,schools,unions,adoptions,said,section,greens,understanding,view,private,fide,second,stance,lesbian,protection,personnel,amending,additional,addressed,live,bring,nondiscrimination,make
12,finally,conscientious,union,200,joy,vote,organisations,say,reform,amendment,decide,years,paragraph,freedom,time,plebiscite,catholic,suggestion,territory,love,thousands,say,marriages,couples,email,domestic,return,story,relationship,antidiscrimination,conscientious,talking,apply,original,country,australia,australian,read
13,proud,declaration,mother,opposition,equal,issues,advice,said,time,laws,lists,free,act,protections,comments,turnbull,federation,love,policy,course,society,vote,law,participated,issue,law,speaker,number,heterosexual,exemptions,senate,ask,debate,inevitably,way,asking,equality,noise
14,years,fundamental,father,labor,place,sex,unlikely,little,day,pieces,window,debate,line,respect,kennedy,just,orthodox,foy,child,recognition,lesbian,promises,country,parliament,certainly,matter,suspension,internal,legislation,want,forces,refer,opportunity,cunningham,courage,regional,laws,able
15,young,traditional,love,democracy,human,support,advancing,like,lies,members,celebrant,process,holds,majority,let,political,freedoms,okay,australia,sex,law,promise,reiterated,right,respect,bona,defer,catholic,honourable,amendments,officers,overwhelmingly,fix,honourable,important,commitment,changes,amendments
16,vote,law,relationship,parliament,long,act,unnecessary,thing,country,points,final,coalition,organisations,result,greens,leader,england,children,provision,issue,life,2010,couples,denial,like,definition,deputy,conflict,reform,minister,objection,answer,australians,suggests,law,like,1902,letter
17,like,protect,traditional,question,work,changes,entity,saying,won,view,sex,important,body,views,don,member,christianity,sides,adopt,say,coalition,party,australia,legislation,contacted,woman,question,skin,lesbians,relation,armed,special,statistics,inquiry,senator,young,preference,object
18,lgbti,amendment,natural,way,right,change,amendment,told,bells,2012,separate,vote,purposes,change,house,debate,run,homophobic,federal,person,government,ha,1961,member,matter,case,start,tell,spouse,beliefs,select,areas,relation,proceedings,society,reverend,remained,schools
19,discrimination,tribunal,legal,money,legislate,conscience,funding,mob,person,family,religion,senator,beliefs,voting,supporting,end,bishop,constituents,provisions,like,discriminate,stand,countries,way,members,court,speech,wife,member,committee,improve,country,australian,position,today,today,case,members
