,0,1,2
0,equality,religious,sex
1,love,freedom,couples
2,plebiscite,amendments,government
3,australians,religion,issue
4,vote,freedoms,children
5,parliament,amendment,act
6,community,protections,institution
7,yes,faith,view
8,want,celebrants,relationships
9,lgbtiq,beliefs,australian
10,time,belief,think
11,survey,sex,woman
12,years,percent,man
13,young,conscience,change
14,debate,charities,legislation
15,like,voted,labor
16,australia,yes,society
17,lgbti,rights,definition
18,country,australians,community
19,minister,senate,views
