,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,lgbtiq,freedom,relationships,plebiscite,equality,views,charities,yes,love,discrimination,item,list,kate,entity,amendments,prime,faith,labor,adoption,gay,election,man,act,love,burke,opposition,daughter,regional,survey,think,nation,women,religious,expression,percent,children,officer,leave,pm,church
1,australians,rights,facto,issue,australians,issue,charity,community,equality,sex,schedule,perform,mother,belief,senate,minister,god,party,government,lesbian,definition,woman,definition,fair,edmund,agreed,wisdom,wangaratta,safeguards,got,australian,indigenous,celebrants,churches,yes,parents,defence,granted,15,facilities
2,want,religion,superannuation,vote,law,view,charitable,equality,equal,couples,page,celebrants,choice,relevant,won,parliament,religious,member,intercountry,homosexual,position,union,institution,let,quo,question,fisher,bishop,process,don,change,change,amendment,statement,religious,institution,cdf,house,afternoon,business
3,equality,conscience,relationship,debate,acknowledge,think,commissioner,friends,attracted,act,omit,90,liz,person,discrimination,liberal,church,members,couples,homosexuals,change,voluntarily,entered,belongs,debate,leader,church,rural,government,going,calare,changed,religion,commitment,voted,society,force,tabled,submitted,going
4,survey,international,legislation,australian,parliament,sex,status,thank,reform,rights,substitute,ceremonies,deep,holds,debate,equality,protections,families,sex,commitment,disdain,entered,contained,voted,argued,second,coroner,indi,community,school,believe,married,senate,sex,vote,biological,authorised,member,debate,run
5,long,belief,partner,australians,rights,position,tax,love,country,remove,line,category,family,act,committee,party,christian,australian,states,australians,said,community,government,day,sister,amendment,solomon,harry,provisions,want,maranoa,years,ministers,renewed,electorate,social,chaplain,gallery,mpi,churches
6,time,article,discrimination,million,australia,personal,religious,lgbti,ready,labor,celebrant,opt,uhlmann,section,amendment,matter,religion,leader,attorney,community,coalition,88e,overseas,respect,opinions,read,privilege,australia,postal,young,make,society,freedoms,relation,survey,child,appointed,behalf,90,religious
7,hurt,human,loving,government,reality,electorate,act,like,knows,85,subsection,categories,struck,subsection,member,parties,based,government,territories,couples,cowan,exclusion,fundamental,won,parliament,substituting,prayer,anglican,lgbti,really,process,1975,refuse,slope,postal,woman,appointment,flag,indulgence,hold
8,community,beliefs,government,campaign,opportunity,community,assessment,vote,vote,marry,insert,registered,rose,paragraph,think,national,freedom,support,superannuation,sex,say,insert,sex,despite,speech,omitted,years,inner,conduct,know,lives,debate,solemnise,slippery,freedoms,family,overseas,vote,madam,department
9,sorry,covenant,community,lgbti,support,believe,amendments,years,let,ending,solemnise,religious,support,beliefs,legislation,vote,organisations,opposition,relation,years,contacted,society,valid,cousin,opinion,immediate,god,like,vilification,lot,great,preference,freedom,view,australians,man,chaplains,opposition,statements,electric
10,week,18,heterosexual,referendum,member,debate,confirmed,campaign,party,matter,authorised,civil,raised,vaa,protections,room,federation,years,overseas,marriages,policy,message,law,short,member,words,life,references,broadcasters,said,way,nondiscrimination,protection,defend,sex,families,personnel,make,30,flowers
11,discrimination,freedoms,family,200,human,conscience,dgr,proud,parliament,equality,religious,website,unions,purposes,delay,government,state,conference,commonwealth,men,vote,section,laws,ignorance,representative,addressed,story,behalf,apply,dress,society,australian,antidiscrimination,parliament,protections,sex,serving,read,second,liberty
12,debate,conscientious,acceptable,sex,joy,current,organisations,finally,laws,amendment,11,decide,suggestion,authority,greens,turnbull,orthodox,conscience,child,recognition,labor,law,marriages,yes,status,inevitably,stance,really,additional,thing,important,1967,compromise,freedom,freedom,union,senate,conscience,return,play
13,love,declaration,longterm,parliament,make,received,unlikely,young,chance,view,traditional,window,love,contravention,comments,political,christianity,debate,adoptions,said,greens,subsection,understanding,sweet,speeches,cunningham,number,make,fix,country,live,late,want,participated,australian,relationship,conscientious,noise,speaker,home
14,families,fundamental,sex,opposition,legislate,support,advice,hard,right,pieces,17,lists,constituents,body,time,members,bishop,free,policy,say,promises,thousands,1961,australian,longing,original,internal,cities,opportunity,say,debate,ago,relation,legislation,respect,love,officers,able,suspension,event
15,gift,traditional,think,labor,place,members,advancing,time,stand,2012,lines,sex,children,conduct,kennedy,just,england,process,territory,course,party,coalition,reiterated,bells,course,inquiry,catholic,towns,australian,talk,australians,case,minister,couples,result,mother,objection,amendments,defer,castle
16,day,law,institution,democracy,lgbti,different,unnecessary,survey,parties,laws,refusal,final,foy,insert,house,plebiscite,agencies,coalition,australia,love,stand,life,country,sing,expansion,suggests,skin,cathy,statistics,mob,institution,changes,committee,denial,majority,traditional,select,today,deputy,education
17,campaign,protect,concerned,community,time,act,reason,long,young,points,exemptions,celebrant,sides,organisations,supporting,leader,catholic,important,provisions,heterosexuals,clear,lesbian,australia,time,tradition,honourable,conflict,bring,notwithstanding,little,best,remained,beliefs,argument,views,father,forces,going,start,happens
18,right,treaties,law,way,country,gippsland,fringe,know,situation,member,section,separate,homophobic,meaning,canning,member,freedoms,vote,issue,year,promise,government,couples,hate,judgement,view,tell,country,rights,like,honour,1902,protections,society,change,purpose,improve,letter,question,don
19,way,tribunal,seven,money,work,certainly,advocacy,bendigo,just,removed,religion,religion,okay,based,rejected,elected,employment,senator,provision,today,ha,sanctity,countries,lies,street,position,wife,parkes,relation,came,country,sexual,opposes,right,western,natural,armed,object,orders,victorian
