,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,equality,freedom,children,plebiscite,equality,think,charities,going,love,discrimination,religious,labor,entity,percent,amendments,relationships,faith,kate,international,man,list,conscience,act,submission,daughter,survey,opposition,officer,edmund,regional,nation,religion,views,school,lgbtiq,expression,women,wangaratta,pm,election,adoption,gay,leave
1,community,freedoms,institution,vote,prime,issue,charity,got,let,sex,celebrants,party,belief,yes,senate,facto,church,mother,rights,woman,perform,beliefs,definition,election,wisdom,safeguards,agreed,defence,burke,rural,australian,observance,received,young,australians,churches,indigenous,bishop,15,definition,government,lesbian,house
2,yes,religious,society,debate,minister,view,charitable,don,equal,couples,amendment,leader,item,voted,won,superannuation,religious,choice,human,community,90,assumption,entered,tennis,fisher,process,question,authorised,quo,inner,change,religious,sex,schools,equality,statement,change,indi,submitted,change,intercountry,commitment,member
3,thank,traditional,parents,issue,parliament,position,commissioner,church,attracted,labor,compromise,australian,page,electorate,discrimination,relationship,god,liz,freedom,88e,celebrants,conscientious,institution,sex,church,government,second,cdf,debate,references,calare,section,personal,lies,time,renewed,changed,anglican,afternoon,position,couples,australians,gallery
4,friends,religion,woman,million,liberal,views,status,think,despite,act,senate,government,schedule,survey,debate,government,christian,deep,article,union,ceremonies,trumps,government,equality,coroner,postal,amendment,force,opinions,cities,maranoa,commonwealth,electorate,children,gift,commitment,married,harry,debate,said,states,homosexual,granted
5,like,conscience,man,australians,matter,parliament,tax,run,laws,rights,freedoms,families,relevant,vote,equality,discrimination,protections,family,covenant,insert,category,celebrant,contained,professor,privilege,community,read,chaplain,argued,towns,believe,amendment,member,told,long,sex,equality,rural,mpi,contacted,attorney,homosexuals,tabled
6,love,speech,social,campaign,parties,debate,religious,know,won,marry,ministers,member,omit,religious,member,legislation,state,uhlmann,belief,voluntarily,opt,belief,overseas,inquiry,solomon,provisions,leader,appointed,parliament,australia,make,practice,letters,protection,humility,view,1975,parkes,90,disdain,sex,sex,behalf
7,campaign,protections,biological,australian,australians,gippsland,act,want,equality,remove,refuse,members,person,postal,time,partner,organisations,struck,declaration,entered,religious,primacy,sex,melbourne,prayer,conduct,substituting,appointment,sister,voted,lives,constitution,percent,want,want,relation,society,cathy,indulgence,cowan,territories,couples,flag
8,lgbti,sex,union,government,party,believe,assessment,churches,day,ending,solemnise,opposition,subsection,australian,think,community,schools,rose,treaties,message,categories,religious,law,law,years,lgbti,omitted,overseas,opinion,electorates,debate,act,emails,gilmore,law,slope,years,gender,madam,say,overseas,years,opposition
9,years,australians,family,referendum,member,community,amendments,lot,years,members,exemptions,debate,substitute,respect,delay,loving,based,raised,18,lesbian,registered,philosophy,fundamental,discrimination,god,vilification,immediate,chaplains,street,utterly,great,worship,constituents,josh,australia,slippery,nondiscrimination,behalf,statements,vote,relation,men,make
