,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,lgbtiq,freedom,adoption,plebiscite,equality,think,charities,yes,love,discrimination,item,labor,man,percent,amendments,election,women,kate,list,gay,views,submission,act,expression,survey,relationships,indigenous,daughter,faith,nation,religious,pm,officer,leave,member,regional,burke,commonwealth,opposition,entity,going,groom,homosexuals,children
1,equality,religion,government,issue,prime,really,charity,equality,let,sex,schedule,party,woman,yes,senate,definition,indigenous,mother,perform,lesbian,issue,tennis,definition,churches,safeguards,facto,ago,wisdom,church,australian,celebrants,15,defence,granted,gallery,wangaratta,edmund,religion,agreed,belief,church,toowoomba,homosexual,institution
2,australians,rights,intercountry,vote,minister,important,charitable,community,equal,couples,page,leader,union,religious,won,position,equality,choice,90,commitment,sex,sex,institution,statement,process,superannuation,years,fisher,religious,calare,amendment,submitted,cdf,tabled,liberal,bishop,quo,shall,question,relevant,don,result,marital,parents
3,want,international,couples,debate,parliament,view,commissioner,friends,attracted,labor,omit,australian,voluntarily,freedom,discrimination,change,change,deep,celebrants,australians,view,election,entered,sex,government,relationship,changed,church,god,respect,senate,afternoon,force,flag,house,rural,debate,constitution,leader,person,facilities,inland,self,society
4,survey,belief,sex,million,australians,believe,status,vote,despite,act,substitute,families,community,voted,equality,said,married,liz,ceremonies,community,electorate,professor,contained,commitment,postal,discrimination,louise,coroner,christian,great,ministers,debate,authorised,conscience,remarks,indi,argued,relation,second,holds,want,queensland,editorial,social
5,time,conscience,states,campaign,matter,parliament,tax,thank,won,rights,line,member,88e,vote,debate,disdain,1975,family,category,love,personal,equality,government,renewed,provisions,government,time,solomon,protections,maranoa,freedoms,mpi,chaplain,behalf,spirit,harry,opinions,qualification,amendment,act,run,survey,claims,biological
6,long,article,attorney,government,parties,say,religious,lgbti,fair,marry,celebrant,government,entered,freedoms,time,cowan,nondiscrimination,uhlmann,opt,years,received,inquiry,overseas,relation,community,partner,women,privilege,based,fair,refuse,90,appointed,house,north,australia,sister,pulpit,read,subsection,got,yes,social,woman
7,hurt,human,territories,australians,party,way,act,young,knows,remove,subsection,members,insert,australians,protections,contacted,australian,struck,religious,course,community,melbourne,sex,slope,lgbti,community,right,prayer,state,change,solemnise,madam,appointment,read,contribution,anglican,parliament,prolong,substituting,section,churches,electorates,sex,man
8,sorry,covenant,overseas,referendum,australia,know,assessment,like,laws,ending,insert,opposition,message,postal,delay,labor,late,support,registered,men,position,discrimination,fundamental,slippery,conduct,legislation,legislation,god,religion,respectful,antidiscrimination,indulgence,overseas,opposition,noise,inner,speech,116,omitted,paragraph,school,pastor,applicable,child
9,community,18,superannuation,lgbti,liberal,place,amendments,campaign,bells,members,solemnise,prime,exclusion,protections,kennedy,vote,remained,rose,categories,life,debate,law,valid,defend,vilification,loving,australia,years,freedom,australia,compromise,statements,chaplains,member,members,like,opinion,establishing,immediate,beliefs,little,business,resident,family
10,families,beliefs,relation,australian,member,legislation,confirmed,survey,lies,matter,authorised,support,subsection,sex,committee,say,case,raised,civil,person,support,coalition,law,view,additional,sex,debates,life,organisations,believe,religion,30,personnel,amendments,today,references,representative,imposing,words,vaa,business,national,exception,families
11,gift,declaration,child,200,country,article,dgr,proud,reform,member,religious,free,section,survey,member,stand,relation,suggestion,website,today,current,removed,understanding,parliament,broadcasters,heterosexual,contentious,stance,federation,best,protection,second,serving,vote,grayndler,behalf,status,prohibiting,addressed,purposes,freedom,south,gay,union
12,week,fundamental,adoptions,parliament,law,quite,organisations,love,ignorance,equality,11,conscience,thousands,electorate,let,know,preference,unions,decide,marriages,gippsland,greens,laws,freedom,apply,prime,crime,story,orthodox,belongs,committee,return,conscientious,barker,debate,really,longing,observance,inevitably,authority,told,wales,discriminated,relationship
13,love,conscientious,commonwealth,sex,vote,chamber,unlikely,years,years,support,traditional,coalition,lesbian,australian,comments,coalition,accordingly,children,lists,want,believe,deputy,marriages,legislation,fix,acceptable,mildred,number,bishop,make,amendments,speaker,senate,object,parliament,make,street,protections,original,contravention,know,electorate,couples,sex
14,australia,tribunal,territory,opposition,turnbull,risk,advice,finally,country,points,refusal,debate,society,respect,hatred,party,changed,foy,window,say,conscience,policy,1961,participated,statistics,minister,states,internal,christianity,manner,exemptions,suspension,objection,checked,final,cities,expansion,religious,cunningham,body,mob,centre,gender,traditional
15,day,law,policy,democracy,support,don,unnecessary,hard,right,amendment,17,minister,government,views,canning,matter,society,love,sex,year,think,firm,reiterated,couples,australians,family,laws,conflict,catholic,determine,civil,defer,officers,tabling,want,cathy,speeches,section,inquiry,conduct,say,shelton,inequality,mother
16,debate,freedoms,australia,community,members,point,advancing,time,time,throsby,lines,conference,life,majority,supporting,clear,gladys,constituents,celebrant,like,members,couples,country,denial,notwithstanding,longterm,dealt,catholic,england,communities,opposes,deputy,select,raised,contributions,country,tradition,strongest,suggests,organisations,electric,community,manipulate,love
17,discrimination,civil,issue,prime,political,different,reason,electorate,day,wife,section,vote,discriminate,change,greens,issue,changes,sides,final,homosexual,change,parkinson,couples,right,australian,spouse,aboriginal,tell,freedoms,voted,want,start,forces,ordinarily,sydney,towns,course,australian,honourable,insert,bit,stories,abominable,father
18,place,treaties,provisions,labor,rights,society,advocacy,bendigo,parliament,85,religion,years,ordinary,amendments,amendment,promises,principles,father,separate,couples,different,senate,australia,discrimination,opportunity,area,richard,skin,agencies,society,freedom,orders,armed,schools,amendment,bring,corner,test,view,meaning,dress,case,said,purpose
19,postal,protection,provision,money,reality,actually,fringe,long,sweet,care,exemptions,issue,living,traditional,unamended,expressed,1966,homophobic,religion,recognition,emails,functional,countries,ought,rights,lesbians,white,wife,employment,live,existing,question,improve,letters,vote,parkes,conscience,trust,proceedings,based,single,consultations,heterosexual,natural
