,0,1,2,3
0,equality,religious,sex,plebiscite
1,love,freedom,couples,issue
2,lgbtiq,amendments,children,debate
3,yes,religion,institution,vote
4,community,freedoms,relationships,labor
5,time,amendment,government,australian
6,australians,protections,act,election
7,survey,celebrants,woman,parliament
8,want,faith,man,party
9,years,beliefs,society,prime
10,young,belief,discrimination,government
11,like,sex,legislation,change
12,long,percent,relationship,opposition
13,australia,charities,law,minister
14,vote,conscience,gay,australians
15,thank,voted,community,think
16,friends,rights,family,sex
17,gay,senate,definition,position
18,country,yes,facto,leader
19,parliament,law,issue,say
