,0,1,2,3,4
0,percent,religious,sex,plebiscite,equality
1,survey,amendments,couples,labor,love
2,yes,freedom,children,prime,lgbtiq
3,electorate,religion,institution,debate,time
4,views,amendment,relationships,parliament,want
5,vote,celebrants,government,government,community
6,religious,belief,act,minister,australians
7,freedom,charities,woman,party,young
8,sex,beliefs,man,issue,years
9,voted,senate,society,vote,long
10,australian,freedoms,discrimination,australian,like
11,change,faith,legislation,election,australia
12,freedoms,protections,relationship,opposition,yes
13,view,rights,gay,equality,gay
14,postal,act,law,leader,thank
15,issue,celebrant,family,australians,friends
16,respect,civil,community,think,country
17,australians,want,facto,members,proud
18,protections,solemnise,definition,change,equal
19,debate,protection,superannuation,million,parliament
